Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Cross Campus,https://www.crunchbase.com/organization/cross-campus,2012-04-01,day,11-50,"Cross Campus is a membership-based, collaborative work environment and business event venue. It serves a diverse segment of So Cal’s creative, startup, and technology communities. The company was founded in 2012 and is based in Santa Monica and Los Angeles.",http://www.crosscamp.us/,"Collaboration, Coworking","Santa Monica, California, United States","Cross Campus is a membership-based, collaborative work environment and business event venue.","335,887","7,575","75,557.33",57.09%,-85.03%,774,1.36,-71.71%,82.08%,36.73%,"2,634,144","-827,073",-23.9%
Wikidocs,https://www.crunchbase.com/organization/wikidocs,2012-04-01,day,1-10,Wikidocs provides a real time collaborative editing API for HTML. Collaborative editing of content becomes more and more a commodity feature and Wikidocs provides this technology for all kind of services and software products in the world by adding three lines of Javascript code. Wikidocs supports all major WYSIWYG editors out of the box.,http://www.wikidocs.com,"Cloud Data Services, Collaboration, Developer Tools, Software","Vienna, Wien, Austria",Wikidocs - the realtime collaborative editing API for HTML.,"506,535",,,,,,,,,,,,
Donna Mobile,https://www.crunchbase.com/organization/donna-mobile,2012-03-25,day,1-10,"Donna Mobile designs, implements and sells a computer service offering called Adept. This service targets teams or groups of people who need to collaborate.  It lets any member produce solutions to problems or create systems to improve performance.  This is much more cost effective and timely than being dependent on external services.  Adept is a no code App development platform and produces HTML5/CSS3/JavaScript Apps.  These Apps are highly functional, automatically adapting to the platform where they are running.  Anyone comfortable with using a product like Excel can now build sophisticated cross platform Apps. Adept Apps produce their own private and secure cloud hosted data store.  App users share this data store and synchronize with it.  The service automatically builds secure web services to provide integration capabilities to each App’s data.  Adept is an OData Server and an AtomPub Server and provides these services automatically for every App created. Adept Apps run on iPhones, iPads, Android phones and tablets, Windows Phone 8, desktops and laptops.  The apps works online and offline.  The combination of cloud bases, cross platform and online/offline provides the highest levels of application availability. Adept is a Google App Engine application.  It is secure, reliable and scalable and is built to enterprise standards. The service is provided as a simple “pay for use” model with a simple free trial.  Adept is currently in closed beta.",http://donnamobile.com,"Android, Apps, Collaboration, Enterprise Software, iOS, Mobile, Software","Derby, Derby, United Kingdom",Donna Mobile designs and implements cloud-based computer services.,"1,640,103",,,,,,,,,,,,
Stormz,https://www.crunchbase.com/organization/stormz,2012-03-15,day,1-10,Stormz is a workshop facilitation software aimed at demanding facilitators. For online meetings or large group sessions.,http://stormz.me,"Apps, Collaboration, Information Technology, Software","Paris, Ile-de-France, France",Workshop facilitation software for demanding facilitators. Stormz is a self-funded and profitable company.,"911,998","1,008","1,604",-55.73%,-61.54%,5,1.5,25.11%,50%,-46.45%,"7,025,801","2,250,077",47.11%
Quandora,https://www.crunchbase.com/organization/quandora,2012-03-10,day,11-50,"Quandora helps companies foster a community of continuous learning and employee engagement through the simple act of asking questions. Every workplace has unspoken rules, internal processes, general modes of operating, and technological know-how that is hard to find and track. This proprietary knowledge is difficult to capture, document, and communicate to internal teams. Quandora enables users to ask questions, share knowledge, and learn on a platform that is accessible to all team members. Our web and mobile-based tool ensures that invaluable information is never lost and that communities are constantly learning and improving. We provide integrations with popular Enterprise tools: GoogleApps, Yammer, SalesForce, Zendesk, HipChat, and more.",http://www.quandora.com,"Collaboration, Enterprise Software, Knowledge Management, SaaS, Software","Brooklyn, New York, United States","Quandora offers Quandora Question and Answer to distributed teams in order to capture, capitalize and communicate proprietary knowledge.","138,172","12,942","45,880.83",37.9%,"1,378.51%","1,789",3.05,59.18%,43.83%,27.34%,"1,939,484","-314,456",-13.95%
Stride,https://www.crunchbase.com/organization/stride,2012-03-04,day,1-10,"Stride is a fresh take on sales tracking. Traditional CRM systems are complex, clunky and built for full-time salespeople. Stride strips the sales process down to its essence, making it accessible to the everyday user. With clean deal tracking and high-level metrics, Stride shifts the focus to simplicity. Used by freelancers and small businesses around the world; Stride is sales tracking, for the rest of us.",http://strideapp.com,"Collaboration, CRM, Internet, iOS, Software","Seattle, Washington, United States","Stride manufactures and sells office products, enabling users to manage their sales processes in an easy-to-use interface.","184,531",,,,,,,,,,,,
Zula,https://www.crunchbase.com/organization/zula,2012-03-01,day,1-10,"Zula has developed a mobile communications platform for teams, continuing Pulver and Ner-David's specialty in telecommunications.",http://www.zulaapp.com,"Collaboration, Mobile, Telecommunications","New York, New York, United States","Zula provides a mobile solution for initiating, managing and maintaining mobile team communications.","76,859",,,,,,,,,,,,
Knodium,https://www.crunchbase.com/organization/knodium,2012-03-01,day,1-10,"Knodium lets students study together online using an open collaboration platform. Students and instructors can come together in groups based on courses, projects, or even common interests. Rich content creation is possible with simple, well-designed tooling and allows for real time interaction between members. Users can ask questions and share knowledge, resources, and information with each other. Over time Knodium becomes a knowledge base for students.   Knodium is doing for education what Yammer did for enterprise. It is free for students and instructors. Institutions can pay to claim their networks giving them a greater degree of control and access to analytical insights.",https://www.knodium.com,"Analytics, Collaboration, Education","London, England, United Kingdom",Knodium is the default place that students at over 90 universities go to collaborate around their studies.,"209,400",,,,,,,,,,,,
Rundavoo,https://www.crunchbase.com/organization/rundavoo,2012-03-01,day,1-10,"Rundavoo is an online platform with tools to visualize, plan, and collaborate on group or social activities, events, or parties. The company was founded by Farid Shidfar in 2010 and is based in Los Angeles, California.",http://rundavoo.com,"Career Planning, Collaboration, Events, Restaurants, Social Media, Ticketing","Los Angeles, California, United States","Rundavoo is an online platform with tools to visualize, plan, and collaborate on group or social activities, events, or parties.","387,647",,,,,,,,,,,,
Listiamo,https://www.crunchbase.com/organization/listiamo,2012-03-01,day,1-10,,http://www.listiamo.com,"Collaboration, CRM, E-Commerce, Lead Generation, Price Comparison, Social Media","Barcelona, Catalonia, Spain",Listiamo is the platform for branded content made of lists : B2B2C at máximum! Listiamo allows ecommerce and physical shops to spread their,"1,659,128",,,,,,,,,,,,
Plixee,https://www.crunchbase.com/organization/plixee,2012-02-27,day,1-10,Plixee is a young french startup that builds organization tools in the cloud for mid-sized businesses and individuals. Its main product is plixee.com is a web-based project management application which helps teams to build and realize their projects through conversations. The company is part of the business incubator SEINARI.,http://www.plixee.com,"Collaboration, Project Management, Software","Rouen, Haute-Normandie, France",Participative project management,"1,731,584",,,,,,,,,,,,
Blicko,https://www.crunchbase.com/organization/blicko,2012-02-22,day,1-10,"Blicko is a democratic music service that lets the actual listeners influence the playback. We like to compare it to a modern day digital jukebox solution, that fits perfectly for public venues and establishments, such as: cafés, restaurants, bars and hotels etc. The service is to be offered as a monthly subscription for businesses, and is best described as a: legal, engaging, complete and flexible solution for public playback.",http://www.blicko.com,"Apps, Collaboration, Internet, Music, Video Streaming, Web Development","Stockholm, Stockholms Lan, Sweden",Blicko is a democratic music service which lets people influence the playlist while listening together.,"1,283,642",,,,,,,,,,,,
Planrly,https://www.crunchbase.com/organization/planrly,2012-02-15,day,1-10,"Planrly is a simple application to create and share social plans with your Facebook friends. You can easily create private or public plans, send instant invites and receive updates via push notifications. ## Salient Features ## Easy Private or Public Plan Creation: Planrly lets you create private (invite only) or public plans, send single tap invites and receive status notifications. Plans can have real physical address such as ‘1918 8th AVE Seattle’ or virtual addresses such as Doug’s Home, Online Shopping Center etc. Intuitive Organization: Planrly facilitates organization and easy navigation by monthly views, separated by three distinct tabs for Private, Friends and Public plans. Furthermore Planrly always keeps your past plans, letting you go back and forth in time and cherish old memories. Voting, Comments, Images & Signups: Planrly lets you and your invited friends post comments, add pictures, initiate votes and list signup items, all aesthetically integrated in a single plan view. Moreover all the added data is automatically shared amongst the invited guests, eliminating the need for separate requests for sharing images, comments and other memorable data.",http://planrly.com,"Apps, Career Planning, Collaboration, Events, File Sharing, Law Enforcement, Software","Seattle, Washington, United States",Fun & Collaborative Social Planning,"1,992,144",,,,,,,,,,,,
HelpStartUs,https://www.crunchbase.com/organization/helpstartus,2012-02-15,day,1-10,We are small Startup looking to change the economy by allowing anybody to see that starting a business is fun and easy (still working on the description),http://HelpStart.US,"Collaboration, Education","New York, New York, United States",Small Business Creation Network,"2,032,883",,,,,,,,,,,,
Declara,https://www.crunchbase.com/organization/declara,2012-02-12,day,101-250,"Declara is a new way to discover, curate, and share articles and videos that you enjoy everyday. It intelligently connects you to collections, content, and people so you spend less time searching – and more time engaging. From learning new skills to keeping up with the latest news, Declara gives you access to a community that puts interesting content at your fingertips.  At Declara, we don’t just build great products, we’re on a mission to change the way the world learns.  We’re using big-data technology to connect people to each other and to ideas to unlock endless possibilities.  The sum of all human knowledge exists on the internet, but we need a better way to connect to the collections, articles, and people that inspire us. Since 2012, Declara has provided organizations across the world with the tools they need to solve big problems. Now, Declara is open for everyone - providing access to a worldwide community of knowledge-seekers.  When we work together and harness the power of collective intelligence, we truly can change the world.",https://corp.declara.com,"Collaboration, Communities, Education","Palo Alto, California, United States","Declara makes is easy to discover, collect, and share knowledge with a community of like-minded people.","42,003",,,,,,,,,,,,
Highfive,https://www.crunchbase.com/organization/highfive,2012-02-10,day,51-100,"Highfive is a developer of video and web conferencing software and hardware alternatives used to deliver high-fidelity, crystal-clear audio, and high definition 4K camera connections. Its platform combined with their Hardware-as-a-Service model permits companies to have high-quality conference alternatives with low upfront costs that enable clients to improve the ease and quality of business communications and collaboration.",https://highfive.com,"Collaboration, Enterprise Software, Meeting Software, SaaS, Software, Video Conferencing","Redwood City, California, United States",Highfive simplifies business collaboration with a conferencing platform that builds connected cultures.,"12,458","70,450","73,327.33",17.1%,"1,274.63%",921,1.6,-1.38%,63.08%,-7.28%,"690,124","-52,319",-7.05%
Showpitch,https://www.crunchbase.com/organization/showpitch,2012-02-02,day,1-10,"Showpitch is  the most ground breaking platform for the Next Generation of Entertainment. They are a collaborative community that empowers emerging filmmakers and content creators along with aspiring talent, musicians, athletes and writers to connect with each other, to fans, to opportunities, and to industry insiders and brands looking to buy, back, sponsor, endorse, manage, distribute and discover the hottest new talent and content. Showpitch is the first ever “connect-the-dots solution” for talent, fans, talent seekers and brands. Each user plays their role in the process of creating, acquiring, distributing and consuming content and talent. Whether you are looking to get discovered, looking to discover or looking to be entertained. Welcome to the future of how entertainment should be.",http://www.showpitch.com,"Collaboration, Digital Media, Music, Predictive Analytics","Weston, Florida, United States","Showpitch is a full-service digital media and technology company for creators, talent, industry pros, and global brands.","158,409",,,,,,,,,,,,
Azendoo,https://www.crunchbase.com/organization/azendoo,2012-02-01,day,11-50,"Azendoo is a teamwork application that leverages cloud collaboration apps, syncs all the data and provides a new, interactive take on team task management. Over 1 Billion people use Evernote, Dropbox, Google Drive, MS OneDrive or Box. These apps are great to collect, store and share knowledge in teams but not ideal to drive team action and help get stuff done. Azendoo makes it simple to share tasks or files across teams and stay in sync on projects. From life to education to nonprofits projects, Azendoo users get much more done. Azendoo offers a 14 day trial and memberships start at 7.5$/month.",http://www.azendoo.com,"Collaboration, Enterprise Software, Project Management, SaaS, Social Media, Task Management","Bordeaux, Aquitaine, France",Azendoo is a project management platform for agile developers and high performance managers. ,"48,577","11,930","6,763.5",244.3%,404.96%,712,1.84,-9.93%,54.29%,12.85%,"2,040,351","-1,925,237",-48.55%
Uskape,https://www.crunchbase.com/organization/uskape,2012-02-01,day,1-10,"Uskape’s unified workspace connects the dots between your contacts, messages, documents, notes and commitments so you can: -- Easily connect at your desk or on the go -- Break through the clutter -- Always know what’s new, what’s next and                              what matters most",http://uskape.com,"Apps, Collaboration, Software","New York, New York, United States","Uskape offers employees with applications and built-in tools to manage tasks, contents, contacts, and communications.","184,396",,,,,,,,,,,,
Acano,https://www.crunchbase.com/organization/acano,2012-02-01,day,101-250,"Acano combines audio, video, and web technologies in co-spaces as virtual meeting rooms. With Acano, every person in the organization can join a virtual team room called a co-space using any device they want. Every person can choose whether to join using audio, video, and web.",http://www.acano.com,"Collaboration, Enterprise Software, Unified Communications, Video Conferencing","Uxbridge, Hillingdon, United Kingdom","Acano is a cloud-based integrated platform for video, audio, and web collaboration.","370,909",,,,,,,,,,,,
nooQ,https://www.crunchbase.com/organization/nooq,2012-02-01,day,1-10,"nooQ gives you the personalised information you need to get actual work done.  nooQ visualises your corporate communications by using our innovative and unique user interface – allowing every user to instantly see and focus on what is important to them. nooQ offers advanced volume controls – which means every dashboard is unique and personalised to each user’s preference. Subjects and people can be turned up, turned down or even muted.  nooQ is suitable for scale and mass usage – where other communication platforms gets more cluttered the more they are used, nooQ provides intelligent notifications and recommendations to automatically connect people to find the right ideas, expertise and conversations at the right time.",http://www.nooq.co,"Analytics, Collaboration, Data Visualization, Enterprise Software, Social Media, Software","Glasgow, Glasgow City, United Kingdom",We solve information overload. Award-winning corporate communication platform.,"935,283",,,,,,,,,,,,
Popset,https://www.crunchbase.com/organization/popset,2012-02-01,day,1-10,"Popset is the easiest way to start group photo albums with friends, directly from a mobile phone. We started as four friends and mobile photographers who were tired of emailing our photos back and forth or hunting for them on Facebook. That's why we've created an easy and beautiful way for friends to keep their photos together, at parties, concerts, road trips, hangouts, you name it — wherever your adventures are, Popset is there.",http://popset.com,"Collaboration, File Sharing, Location Based Services, Photography, Social Media","Mountain Pass, California, United States",Popset enables users to maintain group photo albums with friends through mobile devices.,"1,205,622",,,,,,,,,,,,
Elsie yelbert,https://www.crunchbase.com/organization/udrops,2012-02-01,day,1-10,"uDrops is a social learning platform that supports new educational methodologies by integrating communication, collaboration and content management tools into one single learning environment, all wrapped in an awesome user experience.",http://www.udrops.com,"Collaboration, Content, Education","Turku, Western Finland, Finland",uDrops is a Finland-based social learning platform that supports educational methodologies.,"1,816,882",,,,,,,,,,,,
MindStaq,https://www.crunchbase.com/organization/mindstaq,2012-01-26,day,11-50,"MindStaq enables teams to efficiently create, coordinate and manage tasks, collaboratively write powerful digital documents, share notes and files, communicate with context-based messages, and publish information to colleagues and customers.",https://www.mindstaq.com/,"Collaboration, Enterprise Software, Mobile, Productivity Tools, Project Management, SaaS, Task Management","New York, New York, United States","SaaS, Project Management, Collaboration, Enterprise Software, Mobile, Microsoft Teams App","339,828",650,,-68.77%,-46.75%,4,1.5,50%,50%,-50%,"7,775,680","2,873,319",58.61%
SharpCloud Software,https://www.crunchbase.com/organization/sharpcloud,2012-01-19,day,11-50,"SharpCloud is a data visualization software that transforms business data into engaging visual stories that make even complex interdependencies easy to digest. The tool enables you to visualize high-level strategic goals alongside tactical initiatives and reveals meaningful insights that inform decision making. In addition, SharpCloud provides a shared workspace that connects your people and accelerates real-time collaboration, all in one tool.",http://www.sharpcloud.com,"Analytics, Business Intelligence, Collaboration, Data Visualization, Digital Media, Innovation Management, Presentation Software, Project Management, Risk Management, Software","London, England, United Kingdom","Data visualization software that transforms business data into engaging visual stories, helping you make smarter strategic decisions.","27,155","6,791","5,874",268.28%,-40.78%,106,1.57,13.31%,72.93%,-16.26%,"2,851,366","-2,258,264",-44.2%
Coding App,https://www.crunchbase.com/organization/coding-app,2012-01-13,day,1-10,"Coding App is a super-easy to use, no-nonsense, well-designed online web development coding tool for web developers who want to be creative and productive again.  Coding App manages time consuming tasks you've always wanted to do, but never did (well) and automates repetitive actions necessary for modern web development. Coding App helps focusing on the core tasks of a web developer. Coding App has: Cross browser validation and development suggestions. Reusable, customizable build components, templates and repositories. Very easy to use. Beautifully designed. Auto-complete and code validation on the fly. Simple collaboration and revisioning management. Easy deployment. Effective project management.",http://tekzr.com,"Collaboration, Developer Tools, Software, Web Development","Maastricht, Limburg, The Netherlands","Online coding tool, without all the comp","2,118,518",,,,,,,,,,,,
LeanIX,https://www.crunchbase.com/organization/leanix,2012-01-10,day,101-250,"LeanIX offers a SaaS for enterprise architecture (EA) that enables organizations to take faster, data-driven decisions in their IT. LeanIX is the single source of truth for Corporate IT and Product IT to create transparency of the present and derive actions, to shape the future in an understandable business context. LeanIX provides its Software-as-a-Service to 300 international customers including well-known brands such as Adidas, Atlassian, Dropbox, DHL, Merck, Volkswagen, Vodafone, and Zalando.",http://www.leanix.net,"Collaboration, Enterprise Software, IT Management, SaaS, Software","Bonn, Nordrhein-Westfalen, Germany",LeanIX is a Software-as-a-Service (SaaS) company that manages Enterprise Architecture and multi-cloud environments.,"38,088","280,116","207,998.83",56.68%,10.72%,413,1.62,0.2%,71.47%,-3.3%,"272,530","-85,027",-23.78%
Fashionple,https://www.crunchbase.com/organization/fashionple,2012-01-06,day,1-10,"Fashionple is a global fashion networking platform where 1) fashion creatives show portfolios & 2) find collaborators, 3) a marketplace to sell & buy fashion clothes and items, 4) fashion companies offer jobs, and 5) fashion creatives find jobs.",http://www.fashionple.com,"Collaboration, Fashion","Eskisehir, Eskisehir, Turkey",Fashionple is a social networking tool for individuals in the fashion industry.,"1,251,454",,,,,,,,,,,,
OuiShare,https://www.crunchbase.com/organization/ouishare,2012-01-02,day,11-50,"OuiShare is a global community that enables citizens, public institutions, and companies to build a collaborative society. Its activities consist of community building and incubating projects as well as offering support to individuals and organizations through professional services and education. OuiShare was founded in January 2012 and is based in Paris, France.",http://ouishare.net,"Association, Collaboration, Communities, Non Profit","Bagnolet, Ile-de-France, France","OuiShare is a global community that enables citizens, public institutions, and companies to build a collaborative society.","640,972","7,447","4,600.5",188.42%,17.05%,309,1.35,-19.77%,77.97%,147.05%,"2,669,900","-1,857,079",-41.02%
SambaCloud,https://www.crunchbase.com/organization/sambacloud,2012-01-02,day,1-10,"SambaCloud is an enterprise software startup taking a novel approach that blends three traditionally distinct software categories into one single application: 1) project management, 2) content management, and 3) information discovery and aggregation.",http://www.sambacloud.com,"Collaboration, Content, Enterprise Software, Software","Berkeley, California, United States","SambaCloud is an enterprise software startup focused on project and content management, and information discovery and aggregation.","860,307",,,,,,,,,,,,
Tagaboom,https://www.crunchbase.com/organization/tagaboom,2012-01-02,day,1-10,"Tagaboom is a cloud service that offers a range of mobile applications which enable its users to store images and annotations online. Tagaboom was founded by Steve McDowell in January 2012. And it is based in Austin, Texas.",http://tagaboom.com,"Cloud Computing, Collaboration, Mobile, Photography, Social Media","Austin, Texas, United States","Tagaboom is a cloud service with a collection of mobile apps, that stores photos and annotations online and instantly broadcasting.","1,728,737",,,,,,,,,,,,
Wire,https://www.crunchbase.com/organization/wire,2012-01-01,year,51-100,"Wire is the most secure collaboration platform, transforming the way businesses communicate at the same speed and with the same impact that our founders disrupted telephony with Skype.  Headquartered in Berlin with offices in Switzerland and San Francisco, Wire’s award-winning collaboration and communications platform counts over 1,800 government and enterprise customers worldwide, including EY, Fortum, the German government and four other G7 governments. Recognized for its secure collaboration platform as a leader and high performer by G2 Crowd, IDC, Forrester and Gartner, Wire offers messaging, audio/video conferencing, file-sharing, and external collaboration - all protected by the most advanced end-to-end encryption.",https://wire.com/,"Apps, Collaboration, Messaging, Mobile Apps, Security","Zug, Zug, Switzerland",Wire is an encrypted messaging app that offers a secure platform for its enterprise and government customers.,"1,671","661,288","457,905.33",6.09%,162.77%,"1,687",2.84,-15.98%,42.78%,65.37%,"148,722","-1,021",-0.68%
Moxo,https://www.crunchbase.com/organization/moxo,2012-01-01,year,251-500,"Moxo provides an onestop client hub for managing client interactions through modern digital automation. Businesses can streamline deadline-driven client interactions, including account onboarding, account servicing, exception handling.",https://www.moxtra.com,"Apps, Collaboration, CRM, Financial Services, Mobile, Mobile Apps, Software","Cupertino, California, United States",Moxo is a client interaction platform.,"8,877","247,021","107,468.17",152.45%,-0.6%,167,1.32,-16.63%,82.97%,5.28%,"297,386","-239,840",-44.64%
Quip,https://www.crunchbase.com/organization/quip,2012-01-01,year,11-50,"Quip is a living document platform that combines docs, spreadsheets, and communication all in one to help teams get work done faster and smarter. Enabling a frictionless workflow for creating and iterating on living documents, Quip was built for the way people work today -- across a variety of devices and locations. Quip's simple interface combines documents and messages into a single chat-like ""thread"" of updates, making collaboration immediate and easy. Quip lets you work with people, not files. Some of Quip's customers include Facebook, New Relic, Instacart, Al Jazeera, Product Hunt, and Pinterest, among others. Quip was founded in 2012 by Bret Taylor and Kevin Gibbs. Bret and Kevin have created and worked on some of the world's most widely-used tech products, including Google Maps, Google App Engine and Facebook. Quip is headquartered in San Francisco, CA.",http://quip.com,"Collaboration, Enterprise Software, Mobile, Mobile Devices, SaaS, Software","San Francisco, California, United States","Quip is a living document platform that combines docs, spreadsheets, and communication to help teams get work done faster and smarter.","9,785","2,357,536","2,529,218",-7.06%,3.74%,"1,663",2.31,1.84%,57.19%,2.99%,"57,250","4,644",8.83%
AVIA,https://www.crunchbase.com/organization/avia,2012-01-01,year,101-250,"AVIA helps hospitals and health systems to identify, select and deploy the best emerging IT-enabled solutions to drive growth, improve operating efficiency and compete on value.  We facilitate collaboration between providers and entrepreneurs to accelerate the impact and to mitigate the risk of innovation adoption.  Solutions of greatest interest to our members address needs related to population health via clinical data insights, care model redesign, patient engagement and operational efficiency.",https://aviahealth.com,"Collaboration, Consulting, Health Care","Chicago, Illinois, United States",AVIA is a digital transformation partner helping healthcare organizations.,"17,932","18,069","7,954.67",56.46%,-88.46%,0,1,-37.98%,100%,77.75%,"1,604,548","-404,168",-20.12%
HELIX,https://www.crunchbase.com/organization/flux-factory,2012-01-01,year,51-100,"HELIX, formerly Flux, was the first spin-out of Google X. Initially focused on generative building design to automate planning and design of sustainable buildings, HELIX pivoted in 2019 to attack the high cost and complexity of digitizing buildings. Based in Oakland, CA, HELIX built the HELIX Creator platform to enable architects, engineers, builders, and owner-operators to use LiDAR and photogrammetry to capture accurate building geometry and convert it into usable plans and models. HELIX users need accurate 2D and 3D information and access to documents and data related to the building without delays. HELIX is used to evaluate buildings' potential, plan for renovation, document buildings in detail for disaster planning and more. HELIX believes that for Digital Twins to achieve their potential the data must be accurate, intuitive to access and easy to keep up to date.",https://helixre.com/,"Collaboration, Commercial Real Estate, Construction, Information Technology, Project Management, Software","Oakland, California, United States",HELIX RE is a platform for creating and delivering digital twins for buildings.,"23,115",,,,,,,,,,,,
Evocalize,https://www.crunchbase.com/organization/evocalize,2012-01-01,year,11-50,"Evocalize is a marketing infrastructure software company located in Seattle, Washington, with offices in Austin, Texas.  Evocalize has built the first Collaborative Marketing Platform to enable partners to execute complex marketing programs together that can't be run independently.  Evocalize is partnered deeply with Facebook and Google. ---------- Digital marketing continues to grow increasingly complex, which has paid large dividends in increased performance for large direct to consumer businesses. And, with digital advertising’s emerging privacy-first and cookie-less future taking center stage, the complexity of digital marketing will only increase.  Today, successful digital marketing programs are built upon three pillars: expertise, data, and technology. Large direct to consumer businesses often have all three key pillars, and reap the rewards. However, if a business is missing one or more of these pillars, they must enable collaborative marketing partnerships within, or outside of, their network to succeed.  Furthermore, if an organization has at least two of these pillars, typically data and expertise, they are well-positioned to create new revenue opportunities by enabling businesses in need with simple tools that grant access to performance marketing success in line with the largest direct to consumer (DTC) businesses. Collaborative marketing is an effective marketing strategy between a sponsoring partner (for example, a national marketing team, CRM providers, or marketplace) and a participating partner (for example, a local office, CRM user, non-DTC brand, or marketplace seller) that allows the execution of digital advertising programs using shared audience data, creative assets, messaging, and co-op budgets to achieve shared marketing goals. Collaborative marketing completes the three digital marketing success pillars - expertise, data and technology - for all partners involved. Evocalize's collaborative marketing platform (CMP) coordinates the execution of digital marketing programs that use shared assets, audiences, and messaging between partners to achieve results that are impossible to achieve independently.",http://evocalize.com,"Advertising, Collaboration, Marketing Automation","Seattle, Washington, United States",Evocalize provides a collaborative marketing platform that enables partners to execute marketing programs together.,"23,618","45,848","13,821.5","2,816.54%","33,233.33%","1,000",2.95,47.26%,46.28%,2.05%,"912,290","-4,868,830",-84.22%
Surfly,https://www.crunchbase.com/organization/surfly,2012-01-01,year,11-50,"Surfly provides co-browsing and video chat technology that lets you seamlessly upgrade any conversation, from any channel, to support customers as if you are sitting side-by-side. Your customer simply clicks a link or button, and their co-browsing session instantly begins in their browser window to show you what they see. With Surfly there is no software to download and no code to add to your website. Surfly’s technology provides a smooth and fast experience, with almost no loss of quality, even when co-browsing websites with audio and video. There is nothing better than being face-to-face with your customer, and Surfly helps to recreate that experience, allowing you to truly guide your customer toward a positive outcome. With security and privacy at our core, Surfly doesn't store any customer data and never requires customers to login or download any software. Lastly, Surfly works out of the box without having to add any code to your website. Surfly can also be easily customized to fit any customer experience flow. You can launch co-browsing sessions directly from your website and even customize the flow in such a way that it perfectly matches your website’s look and feel. With our fully documented API, you can quickly integrate Surfly into other chat solutions, CRM systems, and call center platforms. With over 100,000 users, Surfly is helping the worlds leading brands improve their customer experience, build loyalty and NPS, drive sales, and enhance operational efficiency.",http://surfly.com,"Collaboration, File Sharing, SaaS, Security, Software, Video Chat","Amsterdam, Noord-Holland, The Netherlands",Surfly provides co-browsing and video chat technology that lets you support customers as if you are sitting side-by-side.,"26,335","242,053","1,569,340.83",-82.34%,-38.66%,487,1.34,18.69%,81.28%,-10.44%,"301,475","217,400",258.58%
Memo Therapeutics,https://www.crunchbase.com/organization/memo-therapeutics,2012-01-01,year,1-10,"Memo Therapeutics AG (MEMO) is an innovator in the field of antibody discovery and immune repertoire analysis. Its MemoMAB™ platform creates a recombinant in vitro copy of an individual’s B cell / antibody repertoire, which is then banked as a library. The resulting unique, large and relevant antibody libraries represent the individual’s immune repertoire and are expected to contain an unprecedented number of relevant and rare antibodies. This leads to entirely new possibilities in immune repertoire analysis and antibody discovery. MemoMAB™ is deployed in proprietary antibody lead discovery programs and is made available in collaborations.",https://memo-therapeutics.com,"Biotechnology, Collaboration","Schlieren, Zurich, Switzerland",Memo Therapeutics is an innovator in the field of antibody discovery and immune repertoire analysis.,"28,075",518,,-97.62%,,0,1,0%,100%,0%,"8,140,994","6,721,791",473.63%
Twoodo,https://www.crunchbase.com/organization/twoodo,2012-01-01,year,11-50,"People today suffer from the chaos of online collaboration tools. We have one tool for email, one for chat, one for calendars, one for managing tasks and one for notes. All these tools require typing in information. So why do we use so many tools for the same activity? Twoodo solves this pain. Using simple tags (just like on Twitter) our technology empowers you to send and organize every email, every chat, every date, every task and every note all from one single box: the ""Command Box"".",https://www.twoodo.com,"B2B, Collaboration, Project Management, SaaS, Software","Sellindge, Kent, United Kingdom","Twoodo is a developer of a task-oriented discussion board to help teams, and collaborate.","34,109","1,355",,496.92%,,0,1,0%,100%,0%,"6,464,541","-3,062,561",-32.15%
Kissflow,https://www.crunchbase.com/organization/kissflow,2012-01-01,year,251-500,"Kissflow’s suite of no-code & low-code work management products are used by 10,000+ customers across 160 countries to create a digital workplace where work gets done seamlessly. Kissflow’s customers include more than 50 Fortune 500 companies. G2 Crowd named Kissflow as a leader in the BPM and Workflow category, with a customer satisfaction score of 4.3 out of 5, the highest in the category.",https://kissflow.com,"Business Information Systems, Cloud Computing, Collaboration, Enterprise Software, Procurement, Project Management, SaaS, Small and Medium Businesses, Software","Wilmington, Delaware, United States",Kissflow is a leading SaaS software provider in the work management space.,"52,638","2,437,200","1,156,670.33",89.15%,4.78%,986,1.77,-17.76%,74.5%,4.15%,"55,769","-34,087",-37.94%
