Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
eXpresso,https://www.crunchbase.com/organization/expresso,1999-01-01,year,1-10,"eXpresso is a SaaS provider of real-time document collaboration for MicrosoftÂ® Office. Its Asymmetric Collaborationâ„¢ service enables business users to share and collaborate on business documents from any location. Document owners may control an individualâ€™s editing responsibilities by personalizing the visibility and rights for specific file elements. eXpresso Corp. was formerly known as SmartDB Corporation and changed its name to eXpresso Corp. in October 2007. The company was founded in 1999 and is headquartered in Palo Alto, California.",http://www.expressocorp.com,"Cloud Data Services, Collaboration, Communities, Hardware, SaaS, Software","Palo Alto, California, United States","eXpresso provides SaaS-based, real-time document collaboration services for Microsoft Office suites.","561,775",,,,,,,,,,,,
INgage Networks,https://www.crunchbase.com/organization/ingage-networks,1999-01-01,year,51-100,"Every company relies upon their people 'networks'—partners, customers, and employees—to drive business value like revenue, product innovation, and recruitment. INgage delivers Network Experience Solutions—online working environments that strengthen the connections of these networks and enable people to better work together. We do this by combing network strategy consulting, a deep understanding of how people interact in a network environment and a unique technology approach. The end value is a network that works on behalf of the company to deliver measurable business results.",http://www.ingagenetworks.com,"App Marketing, Cloud Computing, Collaboration, Social CRM, Software","Naples, Florida, United States",INgage delivers network experience solutions that strengthen the connections of online working environments.,"635,365",,,,,,,,,,,,
United Messaging,https://www.crunchbase.com/organization/united-messaging-inc,1999-01-01,year,51-100,"United Messaging, Inc. provides enterprise messaging solutions that deliver hosted e-mail and collaboration services to business enterprises internationally. It provides electronic messaging network, consulting, and mailgration services, as well as hosted Microsoft Exchange, Lotus Notes/Domino, and Internet Messaging applications. United Messaging, Inc. was founded in 1999 and is based in Malvern, Pennsylvania with additional offices in West Chester, Pennsylvania; and London, England. It has a network operations center in Malvern, Pennsylvania, as well as engineering facilities in Chantilly, Virginia.",,"Collaboration, Consulting, Email, Enterprise Software, Messaging","Malvern, Pennsylvania, United States",United Messaging provides enterprise messaging solutions that deliver hosted e-mail and collaboration services to business enterprises.,"644,254",,,,,,,,,,,,
Ikimbo,https://www.crunchbase.com/organization/ikimbo,1999-01-01,year,,"Ikimbo offers communication and collaboration software and services for companies. It provides a unified applications platform that includes instant messaging, group email management, and real-time and asynchronous communication. The company also offers professional services to assist clients in planning, implementation and integration with legacy systems. Ikimbo’s clients include well known companies such as PricewaterhouseCoopers and Best Software. Ikimbo’s strategic partners include BroadBeam, OTG, Oracle, Hewlett-Packard, Ventera Corporation and Network Solutions. The company was established in 1999 and is based in Reston, Virginia.",http://www.ikimbo.com/,"Collaboration, Messaging, Software","Reston, Virginia, United States",Ikimbo offers communication and collaboration software and services for companies. It provides a unified applications platform that,"661,567",,,,,,,,,,,,
MCA Scientific Events,https://www.crunchbase.com/organization/mca-scientific-events,1999-01-01,year,1-10,"As professional congress organizers, MCA helps scientific organizations and societies plan the perfect congress or event. With their multi-faceted approach, they consult, guide, and support their clients through the entire process. MCA is a full-service event planning agency and handles every aspect in a time efficient manner, making sure all congresses and events are strategically planned, organized effectively, and meet client goals and aims. MCA utilizes their in-depth knowledge and strong relationships in the industry to make sure every event is a success.",http://www.mcascientificevents.eu/,"Collaboration, Consulting, Event Management, Events, Social","Milan, Lombardia, Italy",MCA helps scientific organizations and societies plan the perfect congress or event.,"704,458","9,465","19,104",-86.57%,-83.41%,72,2.13,-1.88%,39.05%,-11.23%,"2,304,991","1,635,211",244.14%
UniServity,https://www.crunchbase.com/organization/uniservity,1999-01-01,year,11-50,"UniServity Ltd. operates an online learning platform that provides a secure social learning environment and tools to enhance learning, collaboration, communication, and administration. The company offers UniServity cLc, a Web-based platform of connected learning communities that enables teachers and learners to create communities to suite their individual learning needs and desired learning objectives. Its platform also provides online social networking tools, such as forums, blogs, podcasts, and wikis for learners to enhance their learning experiences; and administration and management tools for teachers. The company serves primary and secondary schools primarily in the United Kingdom, the United States, Germany, Hong Kong, and Singapore.  UniServity Ltd. was founded in 1999 as Goldline Media Limited and changed its name to UniServity Ltd. in March 2007. The company is based in Reading, the United Kingdom.",http://www.uniservity.com,"Collaboration, E-Learning, Enterprise Software","Reading, Reading, United Kingdom",UniServity offers an online platform that provides a social learning environment and tools to enhance learning and communication.,"872,601",,,,,,,,,,,,
to be,https://www.crunchbase.com/organization/to-be,1999-01-01,year,1-10,"to be is the studio space where you can collage the Internet. Create, share and collaborate in open spaces called fields. Turn your favorites into one-of-a-kind t-shirts & Prints To be allows you to collage the Internet and create prints and t-shirts",http://to.be,"Collaboration, Internet, Social Media","New York, New York, United States","to be is an online studio space that enables individuals to collage, create, share, and collaborate in open virtual fields.","888,947","25,110","23,293.67",-11.25%,,0,1.79,13.07%,47.45%,13.38%,"1,339,975","140,472",11.71%
Silverpeas,https://www.crunchbase.com/organization/silverpeas,1999-01-01,day,11-50,,https://www.silverpeas.com/,"Collaboration, Computer, Software","Grenoble, Rhone-Alpes, France",Silverpeas is an open source collaborative intranet software platform.,"996,720","1,656",,,,2,2.33,,0%,,"5,570,238",,
MobileSys,https://www.crunchbase.com/organization/mobilesys,1999-01-01,year,1-10,"MobileSys is a developer of software solutions that integrate message delivery for wireless devices including cell phones, pagers, and PDA's and enterprise-wide applications, such as CRM, sales force automation, email, help desk and more. Its products include EtherPage Wireless Messaging Server, MobileSys MX Wireless Messaging Engine and the MobileSys Wireless Data Network all providing a platform for enterprise and eBusinesses.",,"Collaboration, Enterprise Software, Messaging, Wireless","Mountain View, California, United States","MobileSys Inc., a Mountain View, Calif.-based provider of short message services (SMS) to corporations.","1,027,608",,,,,,,,,,,,
OnStage,https://www.crunchbase.com/organization/onstage,1999-01-01,year,1-10,"OnStage is an online workspace, collaboration, and project management tool. Through a web interface, it allows users to share documents, track changes, collaborate with customers, and share large files. OnStage is currently available in 6 languages: English, Spanish, Portuguese, Swedish, Simplified Chinese, and Hebrew.  OnStage was created by and run by the consulting firm, Chmura Economics & Analytics.",http://www.OnStagePortal.com,"Collaboration, Internet, Project Management, Public Relations, Robotics, Software, Task Management","Richmond, Virginia, United States","OnStage is an online workspace, collaboration, and project management tool. Through a web interface, it allows users to share documents,","1,177,093","1,638",,,,54,2,,0%,,"5,908,102",,
MailBanc,https://www.crunchbase.com/organization/mailbanc,1999-01-01,year,,"MailBanc provides a robust, yet easy to manage, suite of enterprise-class messaging solutions designed and scaled specifically for small financial institutions. Our suite of hosted, secure technology tools filter, capture, retain and monitor electronic messages to comply with your firm’s regulatory obligations. As a division of MarketCounsel, the nation’s leading business and regulatory compliance consulting firm, MailBanc has had the luxury of utilizing MarketCounsel’s expertise in regulatory compliance to ensure that all MailBanc solutions remain compliant with SEC and FINRA regulations.",,"Collaboration, Email, Enterprise Software, Messaging","Englewood, New Jersey, United States","MailBanc provides a robust, yet easy to manage, suite of enterprise-class messaging solutions.","1,217,535",,,,,,,,,,,,
Netherlands Water Partnership,https://www.crunchbase.com/organization/netherlands-water-partnership,1999-01-01,year,11-50,,https://www.netherlandswaterpartnership.com,"Collaboration, Professional Networking, Water","The Hague, Zuid-Holland, The Netherlands",Netherlands Water Partnership is a business network that offers expertise in water management solutions through collaborations.,"1,647,178","10,182","4,658.83",573.41%,907.69%,131,1.25,-5.26%,88.41%,5.17%,"2,211,885","-3,698,867",-62.58%
The Midas Collaborative,https://www.crunchbase.com/organization/the-midas-collaborative,1999-01-01,year,1-10,Midas Collaborative helps to advance the financial security of low- and moderate-income residents across Massachusetts in collaboration with its member organizations and partners.,https://www.midascollab.org/,"Collaboration, Non Profit, Professional Services, Security","Boston, Massachusetts, United States","The Midas Collaborative is a non-profit organization that offers collaboration opportunities, networking events, and technical assistance.","1,673,076","1,407",,-54.24%,"1,611.11%",0,1,-50%,100%,,"6,366,392","2,195,917",52.65%
GTM Research Reserve,https://www.crunchbase.com/organization/gtm-research-reserve,1999-01-01,year,11-50,,https://gtmnerr.org/,"Collaboration, Consulting, Education, Non Profit, Training","Ponte Vedra Beach, Florida, United States","GTM Research Reserve is a research foundation that provides training about protecting the landscape, and diversity of plants and animals.","2,004,563",,,,,,,,,,,,
RS Biz consultant,https://www.crunchbase.com/organization/rs-biz-consultant,1999-01-26,day,1-10,"RS Biz specific business consultancy models for small, medium and large manufacturing and technology services industries. Our business consultancy solutions are comprehensive and holistic with optimum cost-benefit ratio.",https://rsbizconsultant.com/,"Collaboration, Consulting","Rocky Hill, Connecticut, United States","RS Biz specific business consultancy models for small, medium and large manufacturing and technology services industries.","1,481,622",,,,,,,,,,,,
Interfolio,https://www.crunchbase.com/organization/interfolio,1999-02-01,day,101-250,"Interfolio is the provider of the most advanced workflow and shared governance technology for faculty and universities. Interfolio offers the first holistic Faculty Information System to support the full lifecycle of faculty work—from hiring to annual review, service, activity reporting, scholarly data collection and validation, and more. Interfolio defines and leads the market for faculty-first technology. As the higher education market transitions from legacy, on-premise technology to the cloud, Interfolio is quickly becoming a critical part of the enterprise IT stack by providing agile, scholar-centric SaaS solutions. Currently, Interfolio works with hundreds of institutions, including Johns Hopkins, Brown, Dartmouth, the University of Virginia, and Stanford.",http://www.interfolio.com,"Collaboration, EdTech, Education, SaaS, Universities","Washington, District of Columbia, United States",Interfolio is an enterprise SaaS collaboration platform serving the global higher education market.,"19,417","936,968","756,326.5",35.98%,-14.25%,620,3.4,-24.13%,45.89%,1.19%,"115,354","-23,981",-17.21%
Foss-On-Line,https://www.crunchbase.com/organization/foss-on-line,1999-02-17,day,11-50,"FOSS-On-Line Ltd specializes in the design, implementation and maintenance of software in Corporate email, Distributed data sharing, Electronic document management systems, UI libraries and Networking software for pos-terminals. Their products are widely used in the banking system of Ukraine, as well as many government and commercial organizations. FOSS-On-Line Ltd participates in the Microsoft Partner Program in the status of Microsoft Gold Certified Partner (Gold partner). Gold partners are Microsoft partners with the highest level and have access to the tools that are needed to maintain a strong position in the market.",http://foss.ua,"Collaboration, Document Management, Information Technology, Software","Salem, New Hampshire, United States",Foss-On-Line is a company that specializes in a document management and collaboration software,"951,370","13,452","3,199",496.28%,-75.93%,454,4,300%,37.5%,-62.5%,"1,894,151","-2,894,750",-60.45%
Messaging System Architects,https://www.crunchbase.com/organization/messaging-system-architects,1999-03-01,day,1-10,"An IBM/Lotus technology consultancy focusing on Lotus Domino on Windows 32/64, Linux, AIX and i5/OS-i6/OS. Messaging System Architects is an IBM Business Partner; providing Lotus Domino and Websphere Consulting services since 1999. Our expertise spans 18 years of Lotus Notes/Domino architecture and design, from Notes Release 1 to Notes/Domino Release 8.5, and 2 years of Websphere Portal and Application Server covering versions 5 and 6.  We provide a wide array of services in the IBM/Lotus arena, including: Domino Architecture & Design, Domino Upgrade Services, Migration & Coexistence, Advanced Implementation Services including cluster configurations, Lotus Sametime, Lotus Quickr, Websphere Portal implementations and upgrades.  Platform Expertise: i5/OS, AIX, Linux & Windows  Near-Zero Downtime upgrades & migrations  Server Consolidation & Virtualization  Diagnostics and Troubleshooting  Infrastructure Assessment and Health Checks  Messaging System Architects ""An IBM Business Partner"" is a highly skilled and highly experienced Lotus Notes & Domino consultancy. Our team of highly skilled, Certified Lotus Professionals have the skills and experience required to fulfil all of your messaging needs. We are available to work with your business and technical staff to design, analyze, build, deploy and support a variety of Domino/Notes services and solutions. Our collective expertise across the organization covers the entire Lotus Notes/Domino arena including: Sametime, Quickr, and Blackberry Enterprise Server (BES) for Domino.  Messaging System Architects Lotus Notes & Domino technical skills include:  Domino Environment Analysis & Planning  Domino Implementations for i5/OS, AIX, Linux & Windows  Messaging Migration & Coexistence Environments  Requirements gathering and documentation  Lotus Domino Heath Check Services  Intranet/Extranet secure web applications  Complex Notes user interface design  Web enabling existing Notes applications  Lotus Sametime Implementations  Lotus Quickr Implementations  Lotus Connections Implementations  Custom ""Hosted Org"" Configurations  Wireless email and application integration  Risk assessment and disaster contingency planning  Blackberry Enterprise Server (BES) for Domino",http://www.msagroup.net,"Collaboration, Consulting, Enterprise Software, Health Diagnostics, Messaging","Napa, California, United States",An IBM/Lotus technology consultancy.,"2,130,246",,,,,,,,,,,,
FilesAnywhere,https://www.crunchbase.com/organization/filesanywhere,1999-07-04,day,11-50,"FilesAnywhere is a wholly-owned subsidiary of Immediatek, Inc. (IMKI), a Mark Cuban company, based in the Dallas area that provides cloud storage in a feature-rich environment. FilesAnywhere Born on July 4, 1999, a creation of Dallas-based software design and consulting firm, Officeware systems, FilesAnywhere is one of the world's leading providers of remote file storage for consumers and corporations. As one of the first cloud-based services, FilesAnywhere transformed the way people share information. Today, FilesAnywhere continues to offer simple, powerful solutions that streamline digital life combined with unparalleled service and exceptional security in the cloud. FilesAnywhere allows customers, both consumer and business, to backup, edit, sync, collaborate, and share everything from pictures to documents in a feature-rich environment. Storage plans are tailored to each user's unique needs and budget, and come with free, live customer support from and expert team of engineers and support representatives at their headquarters in the U.S. Immediatek, Inc. A pioneer in cloud storage technology, FilesAnywhere experienced continuous, profitable growth since opening for business in 1999. The service became popular with IT professionals and early adopters, receiving numerous accolades from well-known publications, including PC Magazine, PC Today, and ConsumerGuide. Being profitable and an original force in a hot market made FilesAnywhere an attractive property for several high-profile investors. In 2005, Mark Cuban, owner of championship team Dallas Mavericks and Internet billionaire, joined with founders Tim Rice and Chetan Jaitly as an owner of FilesAnywhere through a private investment. In 2010, FilesAnywhere's operating company, ""Officeware Corporation"" completed a reverse merger of public company Immediatek, Inc., and the company is now publicly traded (IMKI). Officeware Corporation Founded in 1995, Officeware Corporation is a Texas ""C"" Corporation, now wholly-owned by Immediatek. Launched as an information systems consulting firm, Officeware specialized in creating web-based services, transaction systems, and high-performance database systems for businesses and government organizations. With its performance record, client roster, and understanding of advanced interconnected systems design, Officeware was uniquely positioned to create and host a reliable, secure cloud storage service, which was years ahead of its time.",http://www.filesanywhere.com,"Cloud Data Services, Collaboration, Document Management","Bedford, Texas, United States",FilesAnywhere is an online cloud storage provider.,"459,116","115,873","126,658.5",-6.49%,-24.7%,570,2.8,-15.4%,35.23%,42.81%,"496,626","36,676",7.97%
Same-Page,https://www.crunchbase.com/organization/same-page,1999-09-10,day,1-10,"Same-Page.com's eStudio product line provides a cloud computing platform for group collaboration including: calendar scheduling, data storage, file sharing, project management, issue management, community based private message boards and contact management software. Same-Page's primary product, eStudio, is both market and browser agnostic and is currently utilized by small and medium sized business, government agencies, not-for-profit organizations, universities and dispersed workgroups of Fortune 1000 companies. The company and its products are most often compared to other group-based and project-centric solutions such as SharePoint and Basecamp.[1] As of August 2012, the company served more than 732,000 users worldwide with customers such as State of New Hampshire, Radio City Music Hall, UNICEF, Olympus, University of North Carolina as well thousands of small businesses from Architects to Wellness Facilities.",http://www.same-page.com,"Collaboration, Contact Management, File Sharing, Project Management, SaaS, Software","Sanibel, Florida, United States",Same-Page is a website and company that offers a database service software solution.,"841,846",,,,,,,,,,,,
Granicus,https://www.crunchbase.com/organization/granicus,1999-12-01,day,251-500,"Granicus provides technology that empowers government organizations to create better lives for the people they serve. By offering the industry’s leading cloud-based solutions for communications, meeting and agenda management, and digital services to more than 3,000 public sector organizations, Granicus helps turn government missions into quantifiable realities. Granicus products connect more than 150 million people, creating a powerful network to enhance government transparency and citizen engagement. By optimizing decision-making processes, Granicus strives to help government realize better outcomes and have a greater impact for the citizens they serve. As a company, Granicus helps empower some of the most creative people in the world who innovate within complex public sector organizations. We help make policies more effective and to transform the citizen experience so that everything from road closures to fostering programs are better communicated, understood, and ultimately successful. Granicus and GovDelivery – both founded in 1999 – merged to form a new joint effort to support the needs of the public sector. As a newly-combined entity, Granicus’ mission reflects those of its legacy companies in delivering services that bring value to the public and help government accomplish its goals. This powerful alignment allows us to bring even more scale and innovation to the clients we serve.",http://www.granicus.com,"Cloud Computing, Collaboration, Enterprise Software, GovTech, Software, Video Streaming","Denver, Colorado, United States",Granicus provides technology that empowers government organizations to create better lives for the people they serve.,"42,764","1,056,908","1,048,381.5",-15.34%,115.44%,"1,256",2.59,15.7%,66.99%,1.1%,"105,370","15,239",16.91%
Exostar,https://www.crunchbase.com/organization/exostar,2000-01-01,year,101-250,"Exostar is a leader in secure cloud-based solutions that improve collaboration, information sharing, and supply chain management for over 100,000 companies worldwide, including some of the largest players in aerospace and defense, life sciences, pharmaceuticals, and financial services.  Our secure, cloud-based, single-sign-on identity and access management platform and our multi-enterprise collaboration solutions allow users to connect once and access all their critical applications and information across the spectrum of partners and vendors they work with.  Exostar helps our customers utilize and protect their intellectual property, streamline the partner lifecycle, implement new engagements, and expedite all phases of their supply chain.",http://exostar.com,"Collaboration, Identity Management, Information Technology, Risk Management","Herndon, Virginia, United States","Exostar is a leader in secure cloud-based solutions that improve collaboration,","23,110","259,177","304,434.67",41.94%,-51.1%,266,4.13,-38.06%,23.87%,35.47%,"287,633","-64,786",-18.38%
Brainloop,https://www.crunchbase.com/organization/brainloop,2000-01-01,year,101-250,"Brainloop is the provider of highly secure data room solutions for secure collaboration on confidential documents. Their data room solutions support efficient, digital and highly secure collaboration both internally and with external business partners. Starting with the day-to-day business with sensitive information on highly security-relevant processes in the management board and supervisory board communication to strictly confidential M & A activities.   Brainloop is the only solution provider that stores data exclusively in local data centers in Germany, Austria, Switzerland and other European countries - including administrator and provider shielding!",http://www.brainloop.com,"Cloud Data Services, Collaboration, Document Management, File Sharing, Security","München, Bayern, Germany",Brainloop is the provider of highly secure data room solutions for secure collaboration on confidential documents.,"42,852","9,953",,111.41%,,0,1.05,-51.06%,97.6%,71.83%,"2,236,831","-1,257,252",-35.98%
Wiredrive,https://www.crunchbase.com/organization/wiredrive,2000-01-01,year,51-100,"Wiredrive is a cloud-based secure media sharing and collaboration company. Marketing teams, creative agencies, and executive producers for consumer lifestyle brands, commercial agencies, and production houses, rely on Wiredrive to organize their teams and digital assets to securely collaborate, find and share rich media. Wiredrive is tailored for rich media management with faster upload and download speeds, industry-specific workflows, complete custom branding, powerful search and retrieval, insights into user’s activities, and better account-level and system security. Wiredrive simplifies the review process, provides more control over asset distribution, and systematically archives final media assets to save time and money.",http://www.wiredrive.com,"Asset Management, Cloud Computing, Collaboration, Digital Media, File Sharing, Media and Entertainment, SaaS, Video","Los Angeles, California, United States","Wiredrive is a secure media sharing and collaboration service for marketing teams, agencies, and production companies.","58,527","387,261","284,362.33",68.72%,50.05%,"3,046",18.27,39.96%,8.23%,-45.28%,"217,745","-83,743",-27.78%
Vivisimo,https://www.crunchbase.com/organization/vivsimo,2000-01-01,year,10001+,"Vivisimo provides enterprises with innovative search solutions, including social search tools that enable collaboration throughout the enterprise, offer application control through easy-to-use interfaces, flexible security management and a modern architecture that enables quick deployment.  Vivisimo products are available for standalone search applications or as OEM versions embedded within partner applications and solutions. Vivisimo serves its clients from headquarters in Pittsburgh, USA, and through partners around the world.",http://vivisimo.com,"Collaboration, Enterprise Software, Security","Pittsburgh, Pennsylvania, United States","Vivisimo offers enterprises search solutions that enable collaboration, application control, security management, and quick deployment.","143,597",,,,,,,,,,,,
Trace One,https://www.crunchbase.com/organization/trace-one,2000-01-01,year,101-250,"Trace One sa develops SaaS based e-collaborative platform for private label quality management. Trace One is specialized in PLM solution for retail market, E-sourcing, and a Marketplace linking a global community of 5,000+ brand owners in more than 100 countries.",https://www.traceone.com,"Collaboration, Marketplace, Retail, SaaS, Software","Puteaux, Ile-de-France, France",Trace One develops SaaS based e-collaborative platform for private-label quality management.,"151,644","1,492",,-43.97%,43.6%,247,2.5,-18.18%,50%,-10.63%,"6,185,031","1,719,501",38.51%
Nasdaq Boardvantage,https://www.crunchbase.com/organization/boardvantage,2000-01-01,year,101-250,"Nasdaq Boardvantage leads the market in delivering paperless process for boards and leadership. Trusted by enterprises worldwide, including half of the Fortune 500, Boardvantage sets the bar for a mobile executive experience.",https://www.nasdaq.com/solutions/boardvantage,"Collaboration, Mobile, SaaS","Menlo Park, California, United States",Boardvantage addresses the document collaboration needs of boards and leadership teams.,"169,467","18,560,953","26,059,812.17",-22.61%,8.78%,"1,189",3.05,1.24%,60.81%,2.03%,"9,132","2,042",28.8%
Bizzdesign,https://www.crunchbase.com/organization/bizzdesign,2000-01-01,year,101-250,,http://www.bizzdesign.com/,"B2B, Cloud Management, Collaboration, Compliance, Innovation Management, IT Management, Risk Management, Software","Enschede, Overijssel, The Netherlands","Bizzdesign offers complete and integrated EA solutions to design and improve organizations: effective, proven and focused on results.","184,653","73,451","220,833.33",122.34%,-17.7%,479,2.08,-30.76%,57.79%,11.24%,"671,765","-421,446",-38.55%
mPortal,https://www.crunchbase.com/organization/mportal,2000-01-01,year,251-500,"mPortal, founded in 2000, offers mobile software and services to telecom, cable and media providers, empowering them to deliver superior mobile user experiences for their content and services across smartphones, tablets, smart TVs and other IP-connected devices. Customers to date include some of the world’s leading companies such as AT&T, ABC/Disney, Bright House Networks, Comcast, Cricket Communications, Cox Communications, Disney Mobile, Mobile ESPN, Reliance Infocomm, TELUS, TV Guide, Time Warner Cable, and Verizon Wireless.",http://www.mportal.com,"Collaboration, Customer Service, Mobile, Software, Telecommunications","Mclean, Virginia, United States","mPortal offers mobile software and services for telecommunication, cable, and media providers.","203,695",,,,,,,,,,,,
Greenplum Software,https://www.crunchbase.com/organization/greenplum,2000-01-01,year,501-1000,"Greenplum, Inc., a data warehousing company, develops database software for business intelligence and data warehousing applications. It offers Greenplum Database that supports multi-terabyte data warehousing demands; and Greenplum Network, a customer and partner portal that delivers instant download access to database products. The company primarily serves telecommunications and banking industries.",https://greenplum.org/,"Analytics, Big Data, Business Intelligence, Collaboration, Software, Video","San Mateo, California, United States",Greenplum develops database software for business intelligence and data warehousing applications.,"209,721","1,251",,,,0,1,,100%,,"3,634,758",,
Jabber,https://www.crunchbase.com/organization/jabber,2000-01-01,year,51-100,"Jabber, Inc. develops and markets commercial real-time presence and messaging solutions for the enterprise, government, communications/service providers, financial services, and original equipment manufacturer markets. It offers JabberNow that provides out-of-the-box collaboration features, such as presence-based instant messaging and text conferencing/group chat in a secure messaging environment to small and medium workforces; and Jabber Extensible Communications Platform, a presence, messaging, and XML routing platform. The company also provides Jabber MomentIM, an extensible Windows desktop client; Jabber Messenger for the Web, a zero-footprint Web browser client; and Mobile Clients solution that offers instant messaging and presence functionality to mobile users. In addition, it offers maintenance and support, installation and configuration assistance, training, consulting, and custom development services. Jabber offers its products through reseller, strategic, and development partners. The company was founded in 2000 and is based in Denver, Colorado with additional offices in Washington, District of Columbia. As of October 31, 2008, Jabber, Inc. operates as a subsidiary of Cisco Systems, Inc.",http://www.jabber.org,"Collaboration, Enterprise Software, Messaging, Software","Denver, Colorado, United States","Jabber, Inc. develops and markets commercial real-time presence and messaging solutions.","266,480","9,057","22,888",-62.23%,-88.52%,7,1.18,-65.71%,81.98%,33.11%,"2,357,520","1,020,044",76.27%
Inspire-Tech,https://www.crunchbase.com/organization/inspiretech,2000-01-01,year,11-50,,http://www.inspire-tech.com,"Collaboration, Enterprise Software, File Sharing, Messaging","Redwood City, California, United States",Enterprise file share and collaboration company.,"300,291","6,617","3,794.33",14.09%,700%,8,1.38,30.94%,61.95%,-34.49%,"2,894,423","-107,058",-3.57%
Parlano,https://www.crunchbase.com/organization/parlano,2000-01-01,year,1-10,"Parlano, acquired by Microsoft for an undisclosed amount in 2007, is the maker of MindAlign enterprise-level team collaboration and messaging products. The MindAlign product series is a mix between email and chat platform created for business use. Microsoft plans on using the communication platform to improve Microsoft Office Communications Server and Microsoft Office Communicator.  The MindAlign platform mixes the asynchronous nature of email with the real-time nature of IM to allow groups to have ""persistent group chat"" around ""business-critical topics"". They also claim that the product helps to unclutter your information silos. All their enterprise-level jargon will fit in perfectly with Microsoft.",http://parlano.com,"Collaboration, Enterprise Software, Messaging","Chicago, Illinois, United States","Parlano offers MindAlign, which is an enterprise-level team collaboration and messaging product for businesses.","301,091",,,,,,,,,,,,
Hubspan,https://www.crunchbase.com/organization/hubspan,2000-01-01,year,51-100,"Hubspan was founded in 2000 by industry experts who shared a vision for a simpler, more effective way for businesses to work together. With the global shift to the Web and the increased complexity around business processes and IT systems, Hubspan built a new model for on-demand integration services that enabled companies to work across organizations and systems easily and cost-effectively. The Hubspan team built the industryâ€™s first secure and reliable single-instance, multi-tenant integration platform delivered as a managed service. Today, the Hubspan integration platform helps thousands of companies worldwide achieve stronger connections, collaboration and community, which has a positive impact on the top and bottom line of our customers.",http://www.hubspan.com,"Collaboration, CRM, Enterprise Software, Information Technology, Internet, Software","Seattle, Washington, United States",Hubspan offers on-demand integration services that enable companies to achieve stronger connections and collaborations.,"365,492",,,,,,,,,,,,
Liquid Bronze,https://www.crunchbase.com/organization/liquid-bronze,2000-01-01,year,1-10,"Liquid Bronze deliver bespoke database solutions for SMEs and startups.   Liquid Bronze are the developers of Malinko, a low cost, entry-level solution consisting of three integrated elements: CRM system, appointment scheduling, and customised reporting.  Malinko allows User-defined fields enabling you to record what you need in order to run your business your way. The combination of these mean it's the perfect solution for small businesses with a mobile workforce such as waste and recycling companies. Web-based so you donâ€™t need to worry about installations, upgrades or backing your data up, we do all that for you â€“ you can focus on your core business. Use it on any operating system and there is a mobile version too.",,"Collaboration, Contact Management, CRM, Events, Software","Manchester, Manchester, United Kingdom",Liquid Bronze is a mobile application that delivers bespoke database solutions for small and medium enterprises and startups.,"422,727",,,,,,,,,,,,
B Labs,https://www.crunchbase.com/organization/b-labs,2000-01-01,year,1-10,"B Labs deals with the development of software systems in the sphere of instant messaging and real-time communication. The aim of the company is to present efficient and innovative software solutions for the organization in terms of safe exchange of messages, data and documents transmitting between the users in local networks of small offices, companies of small and medium business as well as in large corporate and enterprise networks. Company success and more than 14-year-experience in this sphere is proved by the list of clients, which covers the companies from 35 countries of the world.",http://www.bopup.com,"Collaboration, Enterprise Software, Messaging, Software","Konakovo, Moskva, Russian Federation",Provider of secure IM & chat software,"604,585",,,,,,,,,,,,
6AM Marketing,https://www.crunchbase.com/organization/6am-marketing,2000-01-01,year,11-50,"6AM Marketing, Inc.(formerly Glowac Harris Madison) is a full-service advertising and digital agency with experience in healthcare, construction, sustainability, plus more.",http://www.6ammarketing.com,"Advertising, Collaboration, Marketing","Madison, Wisconsin, United States","6AM Marketing, Inc.(formerly Glowac Harris Madison) is a full-service advertising and digital agency with experience in healthcare,","621,401",,,,,,,,,,,,
Learning For Action,https://www.crunchbase.com/organization/learning-for-action,2000-01-01,year,11-50,"Learning For Action's mission is to partner with social sector organizations to advance knowledge, capacity, and culture of learning in the service of equity and justice.",https://learningforaction.com,"Association, Collaboration, Consulting, Professional Services, Social","San Francisco, California, United States","Learning For Action provides consulting, support, collaboration, and policy services to social sector organizations for the communities.","631,171","11,964","8,418.17",198.35%,170.4%,749,2.01,53.88%,38.81%,-51.14%,"2,037,056","-1,712,420",-45.67%
Vorsite,https://www.crunchbase.com/organization/vorsite,2000-01-01,year,1-10,"Vorsite is a team of innovative and passionate professionals focused on delivering solutions the connect people and information through technology.  Vorsite is capable of providing end-to-end Enterprise Search and Collaboration solutions, through strategic partnerships, that are flexible and optimized to customer's changing needs.",http://www.vorsite.com,"Collaboration, Search Engine, Software, Web Development","Seattle, Washington, United States",Vorsite is a team of innovative and passionate professionals focused on delivering solutions the connect people and information through,"784,441",,,,,,,,,,,,
Htceramix,https://www.crunchbase.com/organization/htceramix,2000-01-01,year,,,http://www.htceramix.ch,"Collaboration, Electronics","Lausanne, Vaud, Switzerland",Htceramix is a solid oxide fuel cell solution provided.,"797,831",,,,,,,,,,,,
