Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
NousPratIT,https://www.crunchbase.com/organization/nouspratit,,"Cloud Computing, Mobile Apps, Quality Assurance, Software",https://nouspratit.gr/el/home-3/,"Athens, Attiki, Greece","NousPratIT is an IT services company that offers software development, design, assurance, and implements PC and mobile applications.","1,426,530",604,,,,276,5.5,,50%,,"7,845,258",,,European Union (EU),Active,2015-01-01,year,,11-50,,,,,,
Dysnix,https://www.crunchbase.com/organization/dysnix,We master challenging tasks where others give up,"Artificial Intelligence, Blockchain, Cloud Computing, Cloud Infrastructure, Cloud Security, Cyber Security, Information Technology",https://dysnix.com/,"Tallinn, Harjumaa, Estonia","Dysnix is an IT company that provides AI/ML development, blockchain app development, and DevOps services.","339,188",601,"2,447.83",-70.45%,"1,580%",10,1.41,14.02%,59.07%,-22.68%,"7,976,098","3,035,547",61.44%,European Union (EU),Active,2019-10-01,day,2,11-50,"Daniel Yavorovych, Serhii Zaichenko",,,,,
ForePaaS,https://www.crunchbase.com/organization/forepaas,ForePaaS provides a multi-cloud platform of data engineering to scale and secure data projects in record time. It offers a solution to the infrastructure complexity to put in place while deploying an analytical tool. The company was founded in 2014.,"Big Data, Cloud Computing, Information Technology, PaaS, SaaS",http://www.forepaas.com/,"Neuilly-sur-seine, Ile-de-France, France",ForePaaS provides a multi-cloud platform of data engineering to scale and secure data projects in record time.,"43,966",599,,58.89%,,0,1,-83.33%,100%,,"7,867,809","-211,434",-2.62%,European Union (EU),Active,2014-01-01,year,3,11-50,"Francois Vaillant, Paul Sinai, Vincent Michel",,,,,
Euristiq,https://www.crunchbase.com/organization/euristiq,"Euristiq is a software development company specializing in high-performance digital solutions. We create custom end-to-end software applications for clients from all over the world.  With performing teams and result-oriented processes, we deliver turnkey software solutions 15% - 30% faster than the industry average and with minimized risks. We ensure predictable deliverables, fast ramp-up, and scalable solutions from day one. We are also dedicated to providing ongoing maintenance and support after the product release.","Cloud Computing, Consulting, Information Technology, Internet of Things, Software Engineering, Web Development",https://www.euristiq.com,"Lviv, L'vivs'ka Oblast', Ukraine","Euristiq is an IT company specialising in turnkey digital solutions. Our expertise: Cloud, IoT, Custom Web Apps, and Legacy Modernization.","418,439",599,,-84.94%,-99.71%,2,1.37,0.22%,63.11%,-0.47%,"7,867,446","4,265,322",118.41%,,Active,2016-01-01,year,,51-100,,,,,,
Cloud Web Solutions,https://www.crunchbase.com/organization/cloud-web-solutions,"Cloud Web Solutions is a Professional Website Designing Company in Sydney, Australia That keeps up with the latest trends and technologies. From small to large businesses, a professionally designed website can help every idea fly. Cloud Web Solutions offers special identity design services, affordable website design, offshore web design and development, e-commerce web design, and more designs along with customer-friendly services.","Cloud Computing, Internet, Web Design",https://cloudwebsolutions.com,"Bristol, Bristol, City of, United Kingdom","Cloud Web Solutions is a professional website designing company, provides a accurate and intelligent service.","745,476",598,,,,0,1,,100%,,"7,869,177",,,,Active,2015-01-01,year,,1-10,,,,,,
ULU,https://www.crunchbase.com/organization/ulu,"ULU powers next-generation mobility. As a connected customer platform we are committed to deliver best-in-class technology to enable new business models for our customers. We also provide fleet management software targeting business who seek to make their company fleet more efficient. We operate the service under the name Cartracker (cartracker.nl) in the Netherlands, and Fleetify in the United Kingdom (fleetify.co.uk). With offices in the Netherlands, United Kingdom, Slovenia and China we design and manufacture connected hardware, software and cloud services for the automotive industry.","Automotive, Cloud Computing, Fleet Management, Internet of Things, Mobile, Software",https://driveulu.com/,"Amsterdam, Noord-Holland, The Netherlands",ULU is a connected customer technology platform for the automotive industry.,"43,459",595,,-33.74%,,0,1,0%,100%,0%,"7,988,032","868,842",12.2%,European Union (EU),Active,2014-01-01,year,2,11-50,"Christian Kerssens, Jost Faganel",11,284,,,
drie Secure Systems,https://www.crunchbase.com/organization/drie-secure-systems,"drie allows teams to rapidly develop and deploy applications to the cloud without compromising on security. Security conscious organisations currently find it difficult to take full advantage of cloud based services as these services do not meet the standards required for holding and transacting with sensitive data. At drie we fix this by putting security at the core of our product, using encryption and isolation technologies to ensure that your data is safe when you use the cloud.","Cloud Computing, Computer, Cyber Security, Information Technology, Network Security, Software",https://drie.co/,"London, England, United Kingdom",Drie allows teams to rapidly develop and deploy applications to the cloud without compromising on security.,"109,757",588,,,,0,1,,100%,,"7,999,705",,,,Active,2015-01-01,year,4,1-10,"Jeremy Suarez, Kalbir Sohi, Tom Van Neerijnen, Ulrike Eder",,,,,
Optingo,https://www.crunchbase.com/organization/optingo,,"Cloud Computing, Enterprise Resource Planning (ERP), Information Technology, Software",https://www.optingo.eu,"Warsaw, Mazowieckie, Poland",Optingo is an IT company specialized in developing Customer Experience and Cloud ERP software products.,"571,099",588,,,,0,1,,100%,,"8,000,919",,,European Union (EU),Active,2015-01-01,day,,11-50,,,,,,
envelio,https://www.crunchbase.com/organization/envelio,"envelio provides the software as a service solution Intelligent Grid Platform to assist grid operators in the next phase of the energy transition. With algorithms based on artificial intelligence and mathematical optimization, planning and operation processes in distribution grids are enabled for the integration of millions of distributed energy resources and data from smart meters. Smart Grid Technologies are fully integrated into the grid operators’ toolbox to tackle challenges in the power grid.","Analytics, Artificial Intelligence, Cloud Computing, Electrical Distribution, Enterprise Software, Machine Learning, Power Grid, SaaS, Smart Cities, Software",https://envelio.com,"Köln, Nordrhein-Westfalen, Germany",envelio is a cloud based smart grid platform.,"26,336",558,,,,0,1,,100%,,"8,056,083",,,European Union (EU),Active,2017-01-01,year,5,51-100,"Fabian Potratz, Moritz Cramer, Philipp Erlinghagen, Philipp Goergens, Simon Koopmann",,,,,
Cloudstream Technology,https://www.crunchbase.com/organization/cloudstream-technology,,"Cloud Computing, Information Technology, Internet",http://www.cloudstreamtechnology.com,"Kelty, Fife, United Kingdom","Cloudstream Technology is an IT service company offering broadband, IT support, cloud computing, telephony, security, backup services.","1,138,113",547,,"2,938.89%",,0,1,0%,100%,0%,"8,077,649","-2,321,644",-22.33%,,Active,2014-01-01,day,,1-10,,,,,,
Unipartner IT Services,https://www.crunchbase.com/organization/unipartner-it-services,"Unipartner IT Services provides IT and business solutions to government agencies, financial institutions, and commercial enterprises. Through an indirect presence, they support clients. As part of the new business model, that has become the partner to ensure continuity of projects and business relationships across clients.","Advice, Cloud Computing, Consulting, Information Technology",https://www.unipartner.com,"Porto Salvo, Lisboa, Portugal",Unipartner IT Services provide cloud and consulting services.,"1,511,924",546,"1,405.83",-68.26%,-98.79%,17,1.44,23.05%,56.41%,-32.31%,"8,054,088","3,098,685",62.53%,European Union (EU),Active,2015-01-01,year,,101-250,,,,6582596,USD,6582596
Shpv,https://www.crunchbase.com/organization/shpv,,"Cloud Computing, Outsourcing, Web Hosting",http://www.shpv.fr,"Savigneux, Rhone-Alpes, France","Shpv delivers website hosting, VPN management, outsourcing and cloud computing services on a subscription base.","1,346,797",544,,-56.13%,-14.29%,12,3,120.51%,0%,-4.08%,"8,056,183","1,824,133",29.27%,European Union (EU),Active,2014-12-01,day,,1-10,,,,,,
ProovStation,https://www.crunchbase.com/organization/proov-station,"Operating in 13 European countries, ProovStation is a DeepTech start-up specializing in computer vision.  Since 2017, its goal has been to scale up, automate and standardize the automotive inspection process worldwide to automatically estimate repair costs. Its mission is to reduce the total cost of vehicle inspection and increase the efficiency of the entire process to improve the customer and employee experience.  ProovStation develops a range of high-tech vehicle scanners which, assisted by a combined array of optical technologies, conduct a 360° scan of the vehicle in just three seconds. This technique covers all angles and analyzes all damages at millimeter scale.  The “Station” uses artificial intelligence to detect, measure and locate all of the damages sustained by the vehicle. It then generates a time-stamped, geolocated and secured report. ProovStation customers are subsequently given access to range of SaaS solutions (automatic reconditioning quotes; automatic vehicle pricing for resale; check in/check out, vehicle identification; 2D/3D photo studio; and activity management).","Artificial Intelligence, Automotive, Cloud Computing, Machine Learning, Software",https://www.proovstation.com/,"Lyon, Rhone-Alpes, France",ProovStation is an automated drive-through bay which detects and analyses vehicle damages.,"170,099",536,,-80.48%,,61,2,100%,0%,,"8,100,521","3,712,064",84.59%,European Union (EU),Active,2017-01-01,year,4,11-50,"Alexandre My, Anton Komyza, Cedric Bernard, Gabriel Tissandier",,,,,
RJJ Software,https://www.crunchbase.com/organization/rjj-software,"RJJ Software builds everything from brochure-ware websites to scalable and cloud-native enterprise solutions. RJJ Software provides fullstack, podcast editing, DevSecOps, development, and cloud native services.","Cloud Computing, Software, Web Development",https://rjj-software.co.uk,"Leeds, Leeds, United Kingdom","RJJ Software provides podcast editing, cloud native, and cloud-native enterprise solutions.","1,472,068",528,,,,0,1,,100%,,"8,118,478",,,,Active,2018-01-01,year,,1-10,,,,,,
Ogre AI,https://www.crunchbase.com/organization/ogre-ai,,"Artificial Intelligence, Big Data, Cloud Computing, Energy Efficiency, Energy Management, Machine Learning, Renewable Energy",https://www.ogre.ai/,"Bucharest, Bucuresti, Romania",Ogre AI is a data science company specializing in machine learning and artificial intelligence solutions for the utilities sector.,"53,423",526,,9.58%,-97.82%,23,3,-70%,0%,,"8,121,664","-261,913",-3.12%,European Union (EU),Active,2021-01-01,year,,11-50,,,,,,
LCA,https://www.crunchbase.com/organization/lca,,"Cloud Computing, Document Preparation, Environmental Consulting, Information Technology, Software",https://lca.no/,"Kråkerøy, Ostfold, Norway",LCA specializes in providing cloud-based services in environmental documentation.,"326,483",523,,,,427,3,,0%,,"8,095,816",,,"Nordic Countries, Scandinavia",Active,2017-01-01,day,,1-10,,,,,,
ScaleDynamics,https://www.crunchbase.com/organization/scaledynamics,"Founded in 2018, ScaleDynamics is a French technology company created by the researcher-entrepreneur Gilbert Cabillic.  We offer the most advanced cloud computing service on the market, with unmatched mobility, built-in automation for resource and workload optimization, and so much more. ScaleDynamics provides a fully managed production-grade multi-cloud resource platform which takes care of server management, provisioning, deployment, monitoring... It removes completely cloud learning curve to go to the cloud. From our console, you have access to multi-regions from best-in-class providers (AWS, Azure, Google Cloud...). Choose your ready-to-run public cloud resources that can be provisioned in 1-click, and we provide a simple command line to deploy to the cloud of your choice. ScaleDynamics provide you with the right to make mistakes and correct them easily: migrate dynamically from one cloud resource to another without any traffic interruption nor redeploying, change resource or provider anytime.","Cloud Computing, Cloud Management",https://scaledynamics.com/,"Cesson-sévigné, Bretagne, France",The Global Managed Multi-cloud Computing Platform,"517,527",498,,-9.78%,-72.98%,555,2.15,-75.23%,61.75%,85.27%,"8,221,397","996,146",13.79%,European Union (EU),Active,2018-01-01,year,1,11-50,Gilbert Cabillic,,,,,
enuve,https://www.crunchbase.com/organization/enuve-0aaa,,"Cloud Computing, Cloud Infrastructure, Information Technology",https://e-nuve.es,"Barcelona, Catalonia, Spain","enuve is an IT consulting firm that offers cloud computing, cloud infrastructure, cloud backup, and virtual desktop services.","676,117",493,,,,0,1,,100%,,"8,280,353",,,European Union (EU),Active,2015-07-30,day,,11-50,,,,,,
Syncsolutions,https://www.crunchbase.com/organization/syncsolutions,,"Cloud Computing, Consumer Electronics, Data Center, Information Technology, IT Management, Software",https://www.syncsolutions.es/#,"Agüimes, Canarias, Spain","Syncsolutions provides web hosting, cloud computing, consulting, leasing, data center, IT assistance, and management services.","798,261",493,,,,102,2,,0%,,"8,283,829",,,European Union (EU),Active,2018-04-19,day,,1-10,,,,,,
stet.io,https://www.crunchbase.com/organization/stet-io,,"Cloud Computing, Photo Editing, Photography",https://stet.io,"London, England, United Kingdom","Stet.io is an online image editor combined with cloud storage, allowing image editing on any device anywhere.","1,149,325",481,,,,113,2.5,,0%,,"8,401,762",,,,Active,2015-03-01,day,1,,Philip Jones,,,,,
Aqaio,https://www.crunchbase.com/organization/aqaio,,"Cloud Computing, IT Management, Network Security",https://www.aqaio.com/index.html,"Munich, Bayern, Germany","Aqaio offers cloud security, critical infrastructure, network management and IT security distribution solutions.","1,238,932",480,,,,0,1,,100%,,"8,359,189",,,European Union (EU),Active,2017-01-01,year,,1-10,,,,,,
AskDelphi,https://www.crunchbase.com/organization/askdelphi,"AskDelphi develops next-generation performance support software. Building on the framework, their cloud-based platform technology in content authoring, content recognition, and secure hosting.","Cloud Computing, Software, Software Engineering, Training",https://www.askdelphi.com,"'s-hertogenbosch, Noord-Brabant, The Netherlands",AskDelphi provides software and cloud services.,"1,567,994",477,,-68.47%,,0,1,-50%,100%,,"8,405,771","2,805,083",50.08%,European Union (EU),Active,2015-01-01,year,,11-50,,,,,,
MatrixMind,https://www.crunchbase.com/organization/matrixmind,,"Cloud Computing, Information Technology",http://www.matrixmind.nl,"Utrecht, Utrecht, The Netherlands",MatrixMind's Cloud Gateway combines the benefits of the public cloud with the strict security requirements,"1,185,746",460,,-17.12%,,0,1,0%,100%,0%,"8,458,272","429,194",5.35%,European Union (EU),Active,2015-05-18,day,,1-10,,,,,,
Mitingu,https://www.crunchbase.com/organization/mitingu,"Mitingu creates event registration, communication and data products that allow the event organiser to work smartly gathering information and helping them learn more about their attendees, whilst ensuring the attendee remains at the centre of their events. Our advanced yet simple to use solutions will change the way events are created and managed. Mitingu takes the event experience to the next level! Time efficient and cost effective, Mitingu helps event organisers and marketers achieve their desired outcomes and delivers incremental value to their on-going events and customer experience activity.","Cloud Computing, Events, SaaS",http://www.mitingu.com,"Charlbury, Oxfordshire, United Kingdom",Mitingu is a cloud based delegate registration and engagement platform that helps you deliver a great event experience.,"736,710",441,,22.84%,,0,1,0%,100%,0%,"8,508,444","345,810",4.24%,,Active,2014-02-04,day,3,1-10,"Andy Jordan, Greg Wood, Jon Baker",2,,,,
vCloud.ai,https://www.crunchbase.com/organization/vcloud-ai,"VSaaS. Video surveillance and AI video analytics worldwide cloud service. Subscription-based. Hosted, hybrid and private cloud deployment options. True cross-platform: x86/ARM, CPU/GPU/TPU, Linux/Windows/MacOS/Web/iOS/Android, Docker. Compatible with all cameras: Cam-to-Cloud, bridge, ONVIF/RTSP. AI analytics available: Face recognition with lists and attendance reports, Smart LPR (plate number/model/make/colour/direction), Smoke/fire/smoking, Traffic (person/vehicle), Heatmaps, Queues, Crowd, Object detection (human/vehicle/animal/bag). Metadata search. Automation and no-code API. Access control integration.","Cloud Computing, Cloud Security, Information Technology, SaaS, Security, Software, Video",https://vcloud.ai,"London, England, United Kingdom",Cloud video surveillance and AI,"287,062",425,379,-58.54%,"8,200%",0,1.05,-47.65%,95.29%,0%,"8,599,462","1,699,572",24.63%,,Active,2019-11-04,day,1,11-50,Yuri Ahmetov,,,,,
Securebit,https://www.crunchbase.com/organization/securebit,,"Cloud Computing, Internet, Security, Web Hosting",https://www.securebit.ch,"Zug, Zug, Switzerland","Securebit simplifies technology by providing a dedicated internet exchange server, Colocation, Servers, Cloud, and Solutions.","1,221,454",411,"1,003.67",-72.27%,-88.57%,20,3,5.23%,0%,55.13%,"8,653,638","2,977,279",52.45%,,Active,2021-01-01,year,,1-10,,,,,,
Ritmus,https://www.crunchbase.com/organization/ritmus,"Ritmus is a technology and consulting firm that creates work applications in Salesforce platform. Ritmus is a Salesforce Gold Partner which has Sales Cloud, Marketing Cloud, Service Cloud, Community Cloud, Analytics Cloud, App Cloud, IoT Cloud in its Salesforce solution map transfers. The company was founded in 2015 and is headquartered in Istanbul.","Analytics, Cloud Computing, Consulting, Enterprise Software, SaaS, Software",https://ritmus.com/tr/,"Istanbul, Istanbul, Turkey",Ritmus is a technology and consulting firm that creates work applications in Salesforce platform.,"471,863",404,,-55.7%,,0,1,0%,100%,0%,"8,668,035","2,038,126",30.74%,,Active,2015-01-01,year,1,11-50,Osman Çelebi,,,,,
Metainnova Solutions,https://www.crunchbase.com/organization/metainnova-solutions,,"Business Development, Cloud Computing, Consulting, Information Technology",https://www.metainnova.es,"Baracaldo, Pais Vasco, Spain","Metainnova Solutions provides technological infrastructure, cloud storage, proactive maintenance, audit, consultation, and IT services.","1,597,171",400,,,,0,1,,100%,,"8,675,734",,,European Union (EU),Active,2016-01-01,year,,1-10,,,,,,
Vensys,https://www.crunchbase.com/organization/vensys-e2a0,"Vensys provides digital transformation of companies and improvement of processes. They offer complete consulting, advice, budget, management, and implementation of projects. They offer customized IT solutions. Their services include cloud, cybersecurity, IT support, IT consulting, IT outsourcing, Microsoft 365, web design, and digital content.","Cloud Computing, Consulting, Cyber Security, Information Technology, Web Design",https://vensys.es,"Valencia, Comunidad Valenciana, Spain",Vensys provides services in the field of information technology and communications.,"1,755,784",398,,,,0,1,,100%,,"8,691,468",,,European Union (EU),Active,2014-01-01,year,,1-10,,,,,,
Radpoint,https://www.crunchbase.com/organization/radpoint,,"Cloud Computing, Health Diagnostics, Software",https://radpoint.pl,"Katowice, Slaskie, Poland",Radpoint is a platform that provides advanced software solutions for radiology and diagnostic imaging as a service in the cloud.,"616,781",394,,294%,,61,2.5,150%,0%,,"8,732,488","-1,364,793",-13.52%,European Union (EU),Active,2014-01-01,year,,11-50,,,,,,
Core Life Analytics,https://www.crunchbase.com/organization/core-life-analytics,,"Analytics, Cloud Computing, Data Visualization, Software",https://www.corelifeanalytics.com/,"Utrecht, Utrecht, The Netherlands","Core life analytics is an IT firm that delivers software solutions in data analysis, visualization and cloud computing.","455,843",385,,,,0,1,,100%,,"8,734,465",,,European Union (EU),Active,2016-01-01,day,,1-10,,,,,,
Yobitel Communications,https://www.crunchbase.com/organization/yobitel-communications,"Yobitel a Managed SaaS Cloud Service Provider offering Network & IT Infrastructure, Multi Cloud Hosting & Consulting, Container Orchestration, Cross Cloud Pollination, DevOps, Data Centre, Security services globally with our various vendor partners & strategic alliances.  “We achieve global transformation in IT through unify, automate and digitally connect everyone across the world”.  Keeping evolution as Constant, we make a platform for every individual and organization to reinvent and innovate their business during each convergence phase in technology.  Our vision broadens the function what we capable of,  “Transform - Converge - Automate” We bring transparency between people and business to achieve their goals exponentially, simplify complex ideologies and make things into reality beyond imaginations continuously.  Our transformation in every business is carried by the culture we practice, service we follow, products we bring, solutions we provide and mission we focus.   Finally, “Yobitel - Connecting World” we make dreams becomes reality.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Security, Cloud Storage, Communications Infrastructure, Consulting, SaaS",https://www.yobitel.com/,"Brighton, East Sussex, United Kingdom","Yobitel a Managed SaaS Cloud Service Provider offers Network & IT Infrastructure, Multi Cloud Hosting & Consulting, Container Orchestration","110,970",383,,-43.18%,,0,1,0%,100%,0%,"8,768,126","1,123,270",14.69%,,Active,2014-08-22,day,1,11-50,Abishek Raju,,,,,
UCW Industries Ltd.,https://www.crunchbase.com/organization/ucw-industries-ltd,"UCW Industries offers innovative and result in oriented quality services to customers in the embedded, wireless, big data, and web domains. We analyze, design and develop end-to-end solutions from smaller to complex projects. We partner with you to convert your ideas into market-ready products. 1) Products We design and develop various products for smart homes, smart buildings, smart cities, industrial automation, LoRaWAN services and software for low-latency IoT networks and much more. 2) Services We offer a complete portfolio of services in the embedded, wireless, big data and web domain. From application development and provision of operation to service. 3) UCW IoT Cloud The UCW IoT Cloud provides device and data management, monitoring, remote administration, firmware upgrades, API, a marketplace of smart applications and much more. 4) UCW IoT Network We focus on providing distributed LoRaWAN services and software for low-latency networks build for sensors providing 10 years of battery life for ultra-low maintenance cost. 5) UCW IoT Platform The platform designed for IoT and M2M projects providing device management, API, Big Data analytics, and marketplace. ","Cloud Computing, Cloud Management, Cloud Security, Embedded Software, Enterprise Software, Private Cloud, Software, Web Design, Web Development, Web Hosting",https://ucwindustries.com,"London, England, United Kingdom","Services in the IoT prototyping, embedded systems programming, custom hardware design, IoT integration, and custom software development.","416,872",383,,,,0,1,,100%,,"8,781,113",,,,Active,2017-01-03,day,,1-10,,,,,,
CloudHero.io,https://www.crunchbase.com/organization/cloudhero-io,"CloudHero is a platform that enable users to create server environments on any cloud in seconds using a simple web interface. It features out of the box integration with major public cloud vendors, support for open-source technologies like LAMP or MEAN components and single click preconfigured and scalable application deployments of WordPress, OpenCart, PrestaShop and many others.","Cloud Computing, PaaS, Software",https://cloudhero.io/,"Bucharest, Bucuresti, Romania",Deploy your application on any cloud in seconds,"488,781",383,,-87.19%,,0,1,0%,100%,0%,"8,782,456","4,558,212",107.91%,European Union (EU),Active,2014-11-01,day,1,1-10,Andrei Manea,,,,,
Ryedale,https://www.crunchbase.com/organization/ryedale,,"Angel Investment, Cloud Computing, Software, Software Engineering",https://ryedale.com,"London, England, United Kingdom","Ryedale is a software company that provides index portfolio management, asset allocation, transitions, quantitative and ETF products.","460,677",379,,,,0,1,,100%,,"8,808,345",,,,Active,2014-01-01,year,,11-50,,,,,,
Blue Ctrl,https://www.crunchbase.com/organization/blue-ctrl,,"Cloud Computing, Marine Technology, Software",https://bluectrl.io/,"Ålesund, More og Romsdal, Norway","Blue Ctrl develops and markets marine automation, cloud solutions, PMS, monitoring, alarm and control systems.","1,018,940",372,,,,73,2.83,,0%,,"8,832,217",,,"Nordic Countries, Scandinavia",Active,2018-01-01,day,,11-50,,,,,,
Amico IT Services,https://www.crunchbase.com/organization/amico-0255,,"Cloud Computing, IT Management, Virtualization",https://www.amico-it.co.uk,"Featherstone, Wakefield, United Kingdom","Amico IT Services delivers managed IT, disaster recovery, virtualization, windows server and cloud computing solutions.","1,477,261",372,,,,5,2,,0%,,"8,830,748",,,,Active,2017-01-01,year,,1-10,,,,,,
ensun GmbH,https://www.crunchbase.com/organization/ensun-gmbh,"Technology scouting for industrial digitalization - We are a young start-up based in Siegen (Germany), which has set itself the goal of digitizing traditional Technology scouting. The technological challenges of companies are matched with the appropriate problem solvers from our community. ensun offers a large network of technological experts in the field of industrial digitization, which enables us to uncover and access hidden and unused potential.","3D Technology, Cloud Computing, Internet of Things, Robotics, Sensor, Software",https://www.ensun.de/,"Siegen, Nordrhein-Westfalen, Germany",Technology scouting,"357,466",368,,,,0,1,,100%,,"8,837,321",,,European Union (EU),Active,2020-02-01,month,2,1-10,"Benjamin Hill, Christopher Martin Hill",,,,,
Alpine Intuition,https://www.crunchbase.com/organization/alpine-intuition,"Alpine Intuition enables companies to deploy Artificial Intelligence algorithms at scale within minutes. With the MLOps platform isquare.ai, companies can deploy any type of AI algorithm and serve it to their end users with a secure and high performance API access.","Artificial Intelligence, Cloud Computing, Computer Vision, Information Technology, Machine Learning, Software",https://www.alpineintuition.com/,"Ecublens, Vaud, Switzerland",Alpine Intuition enables companies to deploy Artificial Intelligence algorithms at scale within minutes.,"116,668",365,,,,0,1,,100%,,"8,845,331",,,,Active,2019-03-01,month,4,1-10,"Berat Denizdurduran, Florin Dzeladini, Jean Gschwind, Sebastian Savidan",,,,,
Akamas,https://www.crunchbase.com/organization/akamas,"Akamas is the AI-powered autonomous optimization solution that enables enterprises and online businesses to deliver unprecedented levels of service performance and resilience at minimum cost.  The complexity of technology stacks has grown beyond the reach of even the most skilled performance experts. Faster release cycles and the adoption of CI/CD pipelines contribute to this challenge. Built by veterans in performance engineering and data science, Akamas exploits advanced machine learning techniques to optimize hundreds of interdependent service configuration parameters while matching both technical and business goals. Akamas customers include leading enterprise organizations in financial and online services. Akamas is a company of Moviri, a global software and professional services group, and counts Dynatrace, Micro Focus, Neotys and Splunk among its partners. Headquartered in Milan, Akamas has offices in Boston, Los Angeles, and Singapore.","Analytics, Application Performance Management, Artificial Intelligence, Cloud Computing, Cloud Management, Enterprise Software, Machine Learning, SaaS, Software",https://www.akamas.io/,"Milan, Lombardia, Italy",The AI-powered autonomous optimization solution that allows you to deliver unprecedented levels of service performance and resilience.,"187,120",311,"2,930.17",-91.05%,,0,1,-32.58%,100%,31.87%,"9,090,557","5,132,227",129.66%,European Union (EU),Active,2019-01-01,year,1,11-50,Stefano Doni,,,,,
Cloudmatic,https://www.crunchbase.com/organization/cloudmatic,"Cloudmatic turns your servers into a enterprise-class cloud powerhouse, for instant virtual servers, load balancers, applications, big data, networks, storage and more. Start increasing your cloud revenues today!","Cloud Computing, Cloud Infrastructure, Cloud Management, Private Cloud",https://www.cloudmatic.com,"Rotterdam, Zuid-Holland, The Netherlands",Cloudmatic turns your servers into a cloud powerhouse. Start increasing your cloud revenues today!,"808,587",308,,,,0,1,,100%,,"9,127,061",,,European Union (EU),Active,2018-01-22,day,,11-50,,,,,,
Hued.me,https://www.crunchbase.com/organization/hued-me,,"Artificial Intelligence, Cloud Computing, Machine Learning, Software",https://hued.me/?lang=en-US,"Wroclaw, Dolnoslaskie, Poland","Hued.me offers software, web development, communication design, machine learning, AI, and cloud programming services.","1,203,863",308,,,,0,1,,100%,,"9,123,555",,,European Union (EU),Active,2019-01-01,year,,11-50,,,,,,
SchoolWise,https://www.crunchbase.com/organization/schoolwise,"SchoolWise is a cloud based education platform that simplifies and streamlines the performance and management of teaching and learning specifically in the areas of curriculum planning, assessment and academic tracking, reporting and compliance. The education platform guarantees to save time and money, reduce workload and stress, provide better learning outcomes for students and safeguard accountability.","Cloud Computing, EdTech, Education, SaaS, Software",https://schoolwiselearning.com,"Maynooth, Kildare, Ireland",The performance and learning management platform for secondary schools and academies,"280,184",303,,35.87%,,0,1,0%,100%,0%,"9,140,090","-403,542",-4.23%,European Union (EU),Active,2015-02-15,day,2,1-10,"Leslie Turner, Liam Fennelly",,,,,
Being Guided,https://www.crunchbase.com/organization/being-guided,"Being Guided delivers digital innovation through applying Design Thinking to complex problems. Clients include the UK National Health Service (NHS), where we build Software-as-a-Service (SaaS) solutions on the Salesforce Lightning Platform, such as The Social Care Platform. See: https://www.thesocialcareplatform.com","Big Data, Cloud Computing, Consulting, Enterprise Software, Health Care, Health Diagnostics, Information Technology, Internet, SaaS, Software",https://www.beingguided.com,"Birmingham, Birmingham, United Kingdom","Design Thinking, applied. Solving complex problems through converting to software, in the cloud.","408,837",295,,,,1,2,,0%,,"9,115,936",,,,Active,2015-01-01,day,1,1-10,Ian Smith,,,,,
CubeCloud,https://www.crunchbase.com/organization/cubecloud,,"Cloud Computing, Consulting, Information Technology",http://cubecloud.eu,"Warsaw, Mazowieckie, Poland",CubeCloud is an information technology consulting company.,"1,705,759",291,,,,0,1,,100%,,"9,186,739",,,European Union (EU),Active,2020-01-01,year,,11-50,,,,,,
PlusClouds,https://www.crunchbase.com/organization/plusclouds,,"Business Development, Business Intelligence, Cloud Computing, Consulting, Data Center Automation",https://plusclouds.com,"Istanbul, Istanbul, Turkey","PlusClouds is a cloud computing company, which can enable any location around the world to a cloud environment with couple of clicks.","858,512",282,,25.89%,-45.74%,0,1,-50%,100%,100%,"9,223,732","214,925",2.39%,,Active,2014-12-10,day,1,11-50,Semih Turna,,,,,
