Organization Name	Organization Name URL	Founded Date	Founded Date Precision	Number of Employees	Full Description	Website	Industries	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	PP URL
Wrinkl	https://www.crunchbase.com/organization/wrinkl	2015-08-05	day	1-10	Tired of email? – Wrinkl empowers teams to communicate more efficiently.  Frustrated by group chat? – Wrinkl allows collaboration and productivity to coexist.  Wrinkl = less noise, less clutter;  don’t just talk bout work, get it done.  Wrinkl is serious group messaging for serious companies.  So turn up the volume and turn down the noise – Wrinkl simply works better!	http://www.wrinkl.com/	Collaboration, Enterprise Software, Messaging, Software	New York, New York, United States	Wrinkl is a cloud-based group messaging platform that helps to streamline communication in business.	88,611													https://www.wrinkl.com/privacy-policy-2/
Exigo	https://www.crunchbase.com/organization/exigo-2	2015-08-03	day	1-10	Our lives are built on energy, lots of it.  Everything we take for granted would be gone without the energy you produce.  There would be no Amazon, no Google; no Netflix and no iPhone.  No flights, no movies; no modern medicine and no Internet.  At Exigo, our mission is to make energy more abundant in the world by creating technologies that empower the people who produce oil and gas to be more efficient and more effective.  Our first solution, simply named 'Exigo', is changing the way high-performance teams in oil and gas communicate, capture knowledge and find information. Our customers report less email overload, spend less time in meetings and always have the information they need at their fingertips. For more information, please visit http://exigo.io	https://exigo.io	Collaboration, Enterprise Software, Messaging, Real Time	Houston, Texas, United States	Exigo is a messaging and collaboration app for teams in the Oil and Gas industry.	472,545													
WavePost	https://www.crunchbase.com/organization/wavepost	2015-07-31	day	1-10	WavePost makes video collaboration and review effortless. Upload your videos, share them in custom-designed branded presentations, receive timecoded feedback from your clients, and easily deliver the final files. 	http://www.wavepost.net	Collaboration, Media and Entertainment, Video	San Ramon, California, United States	Wavepost is a file sharing platform for video producers that allows filmmakers to specify client viewing.	1,183,556													
rMark Bio	https://www.crunchbase.com/organization/rmark-bio-inc	2015-07-30	day	11-50	rMark Bio's patented intelligence platform, Fabric, unites the real-time business objectives of a pharmaceutical company with the current activities of academic and clinical researchers to deliver next best decisions that remove inefficiencies and increase the ROI in thought leader engagements.	http://www.rmarkbio.com	Artificial Intelligence, Big Data, Biotechnology, Business Intelligence, Cloud Computing, Collaboration, Life Science, Software	Chicago, Illinois, United States	rMark Bio delivers intelligence solutions to the life science industry.	57,592													
Quiply	https://www.crunchbase.com/organization/quiply-2	2015-07-10	day	1-10	Quiply is a young SaaS company offering a mobile-first app platform for mobile, remote and shift workers to communicate within their companies. We connect all employees within a company and enable them to better contribute to their company success. News-Streams, Chat, Collaboration Groups, Employee Directory, Polls, Surveys, Forms, Static Documents and Pages - Our customers get their very own branded app adhering to their individual CI.	https://www.quiply.com	Apps, Collaboration, Employee Benefits, Mobile Apps, SaaS, Social Media, Unified Communications	Cologne, Nordrhein-Westfalen, Germany	Quiply is a young SaaS company offering a mobile-first communication app platform for mobile, remote and shift workers - Quiply Employee App	432,379	3,947	2,076	386.08%	141.46%	778	1.49	48.67%	61.67%	-38.33%	3,778,150	-3,518,658	-48.22%	https://www.quiply.com/en/privacy-policy
Hubbot	https://www.crunchbase.com/organization/hubbot	2015-07-01	day	1-10	Missing Stack — “A startup that builds companies” to disrupt industries to build successful tech companies. We grab in-house unique ideas from scratch to turn them into great businesses. We have created a place where multiple ideas and forward-thinking teams of entrepreneurs & innovators are nurtured in parallel to build lovely crafted services which create beautiful user experiences for all devices	http://www.hubbot.io/	Collaboration, Real Time, Task Management	Jaipur, Rajasthan, India	Missing Stack — “A startup that builds companies” to disrupt industries to build successful tech companies.	1,270,129													
Culturide	https://www.crunchbase.com/organization/culturide	2015-07-01	day		Culturide facilitates an online platform that enables travelers to connect with others local users for the purpose of learning languages. The online platform enables travelers to find and book accommodations to meet their tutors. Culturide enables its customers to learn languages such as Spanish, English, French, and German. Culturide was founded by Maren Ehlting in July 2015. It is based in Hamburg, Germany.	http://www.culturide.com	Collaboration, E-Commerce Platforms, Education, Internet, Language Learning, Travel	Hamburg, Hamburg, Germany	The language exchange platform connecting travelers with like-minded local hosts.	1,888,740													
Attic Labs	https://www.crunchbase.com/organization/attic-labs	2015-06-24	day	1-10	Attic Labs is a software company in San Francisco. Attics is the company behind Noms, a new decentralized database that makes it easy to store, move, and collaborate on large-scale structured data. With Noms, a business could subscribe to data streams much like how a consumer can subscribe to RSS feeds of media. That could mean that a retailer could get data feeds of same-store sales weekly instead of having to manually download .CSV or other file format. Attic Labs was established in year 2015.		Collaboration, Data Storage, Open Source, Software	San Francisco, California, United States	Attic Labs is working on a new approach to data storage, synchronization, and collaboration.	80,951													
fastMatter	https://www.crunchbase.com/organization/fastmatter	2015-06-15	day	1-10	fastMatter is a web-based * Legal Accounts Software, * Legal Case Management System & * Legal Practice Management System, that helps legal professionals keep track of their clients' matters, and stay fully SRA compliant.	https://fastmatter.com	Accounting, Billing, Collaboration, Enterprise Software, Legal, Legal Tech, Project Management, Real Time, Software	London, England, United Kingdom	Legal Accounts & Practice Management System	1,817,048	787				0	1.0		100%		7,355,521			https://fastmatter.com/privacy-policy
TABLE.co	https://www.crunchbase.com/organization/table-co	2015-06-01	day	11-50	TABLE is an omnichannel conversational platform that streamlines your customer or client’s experiential interactions with your brand. Companies can usher prospects to advocates faster than ever by allowing the customization of memorable experiences at scale. TABLE enables businesses to instantly provide context-specific digital-first experiences anywhere, anytime. A single interface encompasses all conversations, appointment booking, transactions, document signings, and even after-purchase support and service, fostering a deeper connection with each customer. TABLE’s streamlined platform allows each customer to interact with a brand no matter which channels your customers interact with you. Great for your brand, memorable for your customers.	https://table.co/	Collaboration, Customer Service, E-Commerce, Retail Technology, SaaS, Shopping, Software, Video Chat	Berkeley, California, United States	Every customer interaction, one easy platform. TABLE provides a digital-first conversational interface for every customer need.	27,353													
The Pioneer Collective	https://www.crunchbase.com/organization/languatravel	2015-06-01	day	1-10	The Pioneer Collective is an independently owned coworking space in Seattle focused on creating economic growth and opportunity by recruiting a diverse member base, providing intentionally designed flexible workspace and supporting sustainable businesses and organizations.	https://www.thepioneercollective.com/	Collaboration, Coworking, Event Management, Event Promotion, Events	Seattle, Washington, United States	The Pioneer Collective is a locally owned company based in Seattle, WA that provides dynamic workspace, meeting rooms, and event spaces.	393,221	5,668				27	2.5		0%		3,265,918			
Square Roots	https://www.crunchbase.com/organization/square-roots	2015-06-01	month	1-10	Square Roots is a discovery company that focuses on integrating technology and human services. It is a mission-driven company that focuses on pregnancy health and wellness of individuals. The company identifies the impact programs and tools that have a proven health impact for mothers and coordinate the distribution of these programs and tools between academia, policy, public agencies, and private companies. This coalition is comprehensive and includes science, technology, medicine, nonprofit and social organizations, public health leaders, policy leaders, and mothers in communities. High tech and high touch, grassroots community health, and movement building partnerships are hallmarks of its approach. Square Roots is a U.S.-based company that was founded in 2015 by Morad Fareed and Richard Gephardt.	http://www.squareroots.com	Collaboration, Communities, Health Care, Information Technology, mHealth, Personal Health	New York, New York, United States	Square Roots is a discovery company, focused on integrating technology and human services.	546,207													
Joiqu	https://www.crunchbase.com/organization/joiqu	2015-06-01	day	1-10	Joiqu is the world's most easy-to-use digital workspace for collaborating, communicating and working in the cloud for teams and projects. Keep people in the loop and up to date on work that matters. Connect and engage your team, clients and partners into a transparent and powerful workspace. All your files, communication and knowledge, always accessible. Share information, knowledge and ideas in an easy-to-use workspace. Work and comment on files, materials and content with your team and clients in one central location. Improve workflows, increase productivity and get work done. Collaborate and get things done. Connect and engage your team, clients and partners into a transparent and powerful workspace. Keep your clients in the loop on projects and updates. Manage organizations, departments and projects easily.	http://www.joiqu.com	Collaboration, Internet, Property Management, SaaS	Oulu, Oulu, Finland	Joiqu is a simple and powerful workspace, and project communication software for teams and projects.	870,058	3				26	6.0		0%		10,908,603			
SpanMyLife	https://www.crunchbase.com/organization/spanmylife	2015-06-01	month	1-10	Fast-paced generation, rat race in the profession for given targets and mounted pressure with huge expectation in our personal life makes our life imbalanced and stress full.  In today’s fast-paced workplace, most of us are urged to do more, faster, and with fewer resources. But we miss getting organized in personal aspect. By the same token, we all have a big gap for health monitoring and financial management. We do not have any such one-stop enterprise platform to integrate, balance and focused collaboration between personal and professional priority aspects in the day to day life. It is high time to integrate personal and professional priorities in one single enterprise platform to plan, track and organize well to make our personal life meaning full and fruitful. It not only related to a person but more to the people surrounded to the user. To fulfill this need and gap in our daily life we introduce SpanMyLife, a one-stop enterprise daily life management platform to integrate and balance personal and professional priority aspects with the consistent presence of planner, trackers and collaboration mechanism. We are the first brand of one stop enterprise platform which will integrate and balance personal and professional priority aspects to make peoples life organized and fulfilled. The nature of our platform is widely used anywhere in the world. It is about adding huge value to people’s life by making them organized and balance between home and office. One platform and the lifetime opportunity for planning, tracking, storage and keeping records.  Strong and 360-degree reminder system not only for the user but also user can remind his/her circle to complete priority items. We are focused on Task, Health and Personal Finance planning and Tracking. We are not just a ToDo app to collaborate. We brought the focus to people’s 3 major priority aspects in the day to day life. Our Span-Offer, part of Span Business, the vision of offer zone will bring collaboration between people, professional and business to engage with affordable and transparent offering as per user real need and the right time.	http://www.spanmylife.com	Collaboration, Personal Finance, Personal Health, Productivity Tools, Task Management	Bangalore, Karnataka, India	One stop enterprise daily life management platform to integrate and balance people personal and professional priority aspects	1,272,526													
AFAR Interactive Inc.	https://www.crunchbase.com/organization/afar-interactive-inc	2015-05-21	day			http://afarinteractive.com	Artificial Intelligence, Collaboration, Education, Knowledge Management, Machine Learning, Mobile	Bellevue, Washington, United States	Collaborative Knowledge Network Service.	1,255,945													
interim.team	https://www.crunchbase.com/organization/interim-team	2015-05-03	day	11-50	We deploy high impact interim talent across all disciplines at very short notice We have delivered #highROI in 100% of our engagements At interim.team and interim.associates we have an obsessive focus on client value Read our 5 minute guide here - https://interim.team/interim-team-five-minute-guide.pdf	https://interim.team	Collaboration, Employee Benefits, Employment	London, England, United Kingdom	We deploy high impact interim talent across all disciplines at very short notice	1,897,242													
Engage	https://www.crunchbase.com/organization/engage-4	2015-05-01	day	1-10	Engage provides a real-time sales management platform for communication and live chat. It enables sales professionals to be available for immediate omni-channel customer interactions and sales. Engage is as useful to the daily life of a salesperson as telephone or email. Organizations deploy Engage to various digital touch points so their sales team members can instantly interact one-on-one with visitors, prospects, and customers. Engage was established in 2015 and is headquartered in Seattle, Washington.	http://engage.co	Cloud Infrastructure, Collaboration, Communications Infrastructure, Direct Sales, Enterprise Software, Messaging, SaaS, Software, Video Chat	Seattle, Washington, United States	Engage provides a real-time sales management platform for communication and live chat.	56,299	320,156	201,396	92.57%	169.14%	471	2.71	-10.28%	23.7%	13.13%	248,643	-126,811	-33.78%	https://www.engage.co/privacy-policy
Trak.io	https://www.crunchbase.com/organization/trak-io	2015-05-01	day	1-10	Trak.io is a customer success platform for increasing revenue and reducing churn in subscription companies. By combining multiple data sources around how your customers engage with your product and brand, we can create a full 360-degree view of each customer, and automatically identify customers who are exhibiting signs of churn, even before they're thinking about churning.  With this data, you can send automated emails directly within our platform (no other apps or software needed!) This makes it easy to prevent churn before it happens.  Acquiring a new customer costs 7 times as much as retaining an existing one. Don't accept churn in your business. Be proactive, track your customers and act before they even know they were unhappy!	http://trak.io	Collaboration, Project Management, Software, Sponsorship, Task Management	Salt Lake City, Utah, United States	Trak.io is a customer success platform for increasing revenue and reducing churn in subscription companies.	104,131	2,683				0	1.0		100%		4,538,744			https://trak.io/data-security-and-privacy-policy
ClearChat, Inc.	https://www.crunchbase.com/organization/clearchat-inc	2015-05-01	month	1-10	ClearChat is encrypted chat, file sharing and file storage for teams of all sizes who value their privacy and security. ClearChat brings an unrivalled level of privacy and security to your team, all in a package that’s as easy to use as the email and chat apps you already know well. With ClearChat there are no passwords to remember, no complex setup processes and no extra “steps” or procedures necessary. It’s easy enough for your least technical team members to use.	https://clearchat.com	Collaboration, Enterprise Software, File Sharing, Information Technology, Messaging, Security	New York, New York, United States	ClearChat is encrypted chat, file sharing and file storage for teams of all sizes who value their privacy and security.	113,903													https://clearchat.com/privacy-policy
Currnt	https://www.crunchbase.com/organization/currnt	2015-05-01	day	11-50	Powered by an open platform of real world problem solvers, Convetit brings professionals together for intense dialogues in online moderated engagements, powered by AI. The Advisory Boards as a Serivce provides hands-on learning into where markets and solutions are headed next. Pivot faster than your competition and get breakthrough perspective with curated teams of experts, on demand.	https://currnt.com	Artificial Intelligence, Collaboration, Consulting, Knowledge Management, Management Consulting, SaaS	Palo Alto, California, United States	Powered by top minds and AI, Convet.it provides online advisory boards that accelerate learning for companies, teams and individuals.	181,027													https://deloitte.currnt.com/privacy_policy
Bkper	https://www.crunchbase.com/organization/bkper	2015-05-01	month	1-10	Bkper is a double entry Bookkeeping API built on Google Cloud that connects finances (banks, credit cards, payment gateways etc) through a consistent ledger to Google Workspace back offices.	http://bkper.com/	Accounting, Collaboration, Developer APIs, FinTech, Google	San Francisco, California, United States	Bkper simplifies finances, with a collaborative bookkeeping workspace for G Suite.	267,472	17,704	14,029.17	235.43%	165.46%	515	2.59	1.53%	47.09%	-17.83%	1,622,704	-1,696,523	-51.11%	https://bkper.com/privacy/
Dreamups	https://www.crunchbase.com/organization/dreamups	2015-04-24	day	1-10	Dreamups Innovation Campus is a startup community where young entrepreneurs learn, share ideas and launch global companies. We create a fair, competitive and sustainable business environment in Moldova through: 1. Creating a learning environment for young people providing mentorship programs, access to services for start-up and innovation development in co-working spaces; 2. Organizing business and networking events in order to increase the awareness and to acquaint the entrepreneurs with the business environment, providing training and other learning methods; 3. Ensuring cooperation between investors and young entrepreneurs; 4. Encouraging and supporting young people’ ideas and business plans; 5. Promoting the Republic of Moldova as a country of innovations, qualified human resources, and global start-ups; 6. Developing innovations and social entrepreneurship in Moldova. Activities we encourage in Dreamups Community: • Unconferences; • Products presentation; • New ideas sprints; • Entrepreneurship contests; • Hackathons; • Debates; • Business movies screening; • Networking events. We have the following values in our DNA: 1. Innovation: We promote creativity, engineering and technology spirit and supporting great and ideas with a high added value. 2. Sustainability: We are social responsible and we efficiently use limited resources to ensure sustainable development of the society. 3. Entrepreneurship: Our members convert ideas in business models and create strong teams for their implementation. 4. Community: We promote interpersonal connections and information exchange which will speed up the development of young entrepreneurs in our community.	http://www.dreamups.com	Collaboration, Coworking, Incubators, Open Source	Chisinau, Chisinau, Moldova	Dreamups Innovation Campus is a youth-run community supporting innovation and startups in the Republic of Moldova	426,183													
PMPeople	https://www.crunchbase.com/organization/pmpeople	2015-04-20	day	1-10		https://pmpeople.org	Collaboration, Project Management, Training	Las Rozas De Madrid, Madrid, Spain	PMPeople is a collaborative platform that provides consulting and training online services for project management students.	1,697,774	557	301.83	10.08%	-99.01%	0	1.0	0%	100%	0%	8,057,774	-83,046	-1.02%	
Prof2Prof	https://www.crunchbase.com/organization/prof2prof	2015-04-16	day	1-10	Prof2Prof is an online platform that enables higher education professionals to share their knowledge and resources with others. The platform is used by instructors, researchers, administrators, and student service professionals. It enables its users to upload and share educational information and insights with others, as well as conduct discussions with other professionals. Prof2Prof was launched in 2015 by Kristen Slack and is based in Wisconsin.	http://www.prof2prof.com	Collaboration, Content, Content Delivery Network, Content Discovery, Education, Professional Networking, Social Network, Universities	Madison, Wisconsin, United States	A collaborative web platform for higher education professionals to share their teaching and research ideas, resources, and strategies.	1,300,950													https://www.prof2prof.com/content/privacy-policy
AlphaSheets	https://www.crunchbase.com/organization/alphasheets	2015-04-15	day	1-10	AlphaSheets seeks to bring the Apple/Slack ethos of intuitive, beautiful computing to currently unintuitive applications. Our main product, AlphaSheets, seeks to eliminate all the problems that plague spreadsheets in the enterprise.	http://www.alphasheets.com/	Collaboration, Finance, Professional Services, Software	San Francisco, California, United States	Intelligent interfaces to computing	59,587													
ZiveBox	https://www.crunchbase.com/organization/zivebox	2015-04-07	day	51-100	Experience ZiveBox! An Enterprise Collaboration app to empower Digital Workforce by Task Management, Big Data Analytics and AI Bots that is easy to use, affordable, efficient and designed to increase productivity. Empower your organization with ZiveBox. • Create Groups - Create your own private ‘Zives’ to manage your privacy in conversations • Share - Share ﬁles, messages, videos across different Zives in a completely secure and convenient environment • Video Conferencing – Seamless video calls and conferencing with up to 8 members simultaneously  • Manage Projects – Create and assign Tasks and Sub tasks for your team and ensure all files concerning the project are kept within the group • Approvals & Expense Management – Get approvals on expenses and categorize your expenses to streamline the process for administration • Performance Management – Set goals at scheduled intervals for your team, receive reports on their performance and manage the feedback process through Zivebox • Polls & Surveys – Create polls and share it with different groups of teammates • Stay Updated - The recent mention feature lets you know if someone has tagged you in a conversation without you having to go through an entire conversation • Advance Find & Archiving - Use advanced search within your Zives to instantly ﬁnd important information that can be archived and bookmarked for later usage • Storage – Up to 10 GB of storage of files for free • On-Field Location Tracking - Track your teammates on the go with our GPS tracking system  • All Access - Access all your chats on any device anywhere with Zivebox • Anytime Help - Hands on 24/7 priority support available Experience the new way of communicating with your team – Experience ZiveBox	https://www.zivebox.com	Apps, Big Data, Collaboration, Enterprise Software, Information Technology, Messaging, SaaS, Software	Mumbai, Maharashtra, India	ZiveBox - An Enterprise Collaboration app to empower Digital Workforce by Task Management,Big Data Analytics & AI Bots.Do more with ZiveBox.	258,322													
Spreadr	https://www.crunchbase.com/organization/spread-3	2015-04-07	day			http://spreadr.co	Collaboration, Developer Tools	Mumbai, Maharashtra, India	Cross Marketing Network For Online Businesses	668,830	15,237	69,389.5	-60.65%	37.08%	1,050	4.14	37.07%	38.66%	22.03%	1,766,365	778,755	78.85%	https://spreadr.co/privacy
Workaround	https://www.crunchbase.com/organization/workaround	2015-04-03	day	1-10	Sharing economy start-up for co-working, meeting rooms and office space rental.  We manage the entire process in order to enable digital booking of co-working spaces and meeting rooms and facilitate the whole process in order for start-ups and small to medium size companies to be able to find offices that suit their needs.  We are also making the process of sub-letting vacant space super easy by using digital standardized processes for e.g. contract signing and billing management.	https://workaround.se	Collaboration, Coworking, Internet	Stockholm, Stockholms Lan, Sweden	Workaround create a mutual understanding of your office needs & convert your greater vision into clearly defined criteria for their search.	85,230													
Nod makerspace	https://www.crunchbase.com/organization/nod-makerspace	2015-04-02	day	11-50	Nod makerspace is a creative workshop and workplace where anyone who has an idea, who wants to develop an invention or to build a prototype can use, through a membership plan, the space, tools, and community know-how to implement their project. We are located on the Dâmbovita riverside, close to the city center, and we occupy 1000 sq m of transformed industrial space in the former Cotton Factory. Below are some photos of our space – before we began the conversion process.	http://www.nodmakerspace.ro	Collaboration, Coworking, Creative Agency	Bucharest, Bucuresti, Romania	Nod makerspace is the first creative creative center in Romania that aims to democratize design, engineering, and creative education.	847,368	4,348	2,155.17	404.41%	3,115.63%	1,029	1.05	-21.31%	95.12%	42.67%	3,642,060	-3,541,408	-49.3%	
Contentle	https://www.crunchbase.com/organization/contentle	2015-04-02	day		You can chat with your colleagues and friends on any item from your library. Communication with everyone takes place in the context of the exact document. This allows you to provide personalized consulting, discuss the progress of tasks, or get results on tasks without making all that available to others. Every public collection is a channel where you can publish web links, thematic documents, and other materials needed for your course.Users subscribe and keep up with new content from you. You can create dedicated channels to promote you personally, your school or university.	https://contentle.com	Collaboration, E-Learning, Education, Knowledge Management, Social Bookmarking, Software, Tutoring	Kyiv, Kyyiv, Ukraine	Contentle is a specialized messenger for anybody who teaches or studies.	1,206,796	3,658	3,900.67	-44.2%	14.84%	1,733	4.8	3.53%	61.03%	235.7%	3,891,094	1,156,265	42.28%	
Zube	https://www.crunchbase.com/organization/zube-2	2015-04-01	day	1-10	Zube is a project management platform for agile development teams, boasting the world’s best integration with Github. It helps make it easy to create an Agile workflow for teams with a kanban board, epics, and sprints. Zube's integration with GitHub keeps all of GitHub Issue data in sync across both platforms in real time.	https://zube.io	Collaboration, Enterprise Software, Project Management, SaaS, Software, Task Management	San Francisco, California, United States	Full stack project management for product development teams. Featuring the world's best GitHub integration.	75,957	18,744	344,552.67	181.27%	-45.21%	185	1.44	44.47%	81.24%	-18.76%	1,573,274	-1,140,840	-42.03%	https://zube.io/privacy
MDK Labs GmbH	https://www.crunchbase.com/organization/mdk-technologies	2015-04-01	day	11-50	MDK allows large organizations to build a highly scalable, multi-channel, and securely encrypted messaging service to easily communicate with their customers or for internal communication with their employees. MDK is a privately held company headquartered in Berlin, Germany. MDK aims to become a leader in providing messaging solutions for telcos, retailers, and large enterprises in a global approach.	https://mdk.io	Collaboration, Enterprise Software, Messaging, Telecommunications	Berlin, Berlin, Germany	Messenger Development Kit (MDK) provides a white label messaging infrastructure with extensive features for enterprise environments.	136,285													
Storro	https://www.crunchbase.com/organization/storro	2015-03-15	day	11-50	Storro is the most secure way to store and share files in the cloud. It enables you to collaborate securely and cost effectively from any location, with colleagues as well as clients. The use of Storro immediately prevents data breaches, and the massive reputation damage and high fines with it. It also safeguards your IP, protects against ransomware and increases overall working speed. Try it 30 days for free.	https://storro.com/	Cloud Security, Cloud Storage, Collaboration, Data Storage, Information Technology	Apeldoorn, Gelderland, The Netherlands	Strengthen your image and increase productivity	694,441													
SNK Creation	https://www.crunchbase.com/organization/snk-creation	2015-03-09	day	1-10	SNK Creation – 360 degree digital marketing service offer to our customers wide range of services include website traffic, Business visibility, Achiever higher search engine rankings, Social media optimization and Boosting service. We commit a better integrated service for SEO and digital marketing solutions to meet the demands of the modern digitalization and take your growth to new level. Grow with one of the most experienced and trusted digital marketing companies.I like to help people who have interest in starting businesses and want to grow up with each level by doing socially advertise	https://www.snkcreation.com/	Advertising, Brand Marketing, Collaboration, Content Marketing, Digital Marketing, Event Promotion, Information Technology, Search Engine, Social Media Marketing, Web Development	Jaipur, Rajasthan, India	SNK Creation is a marketing and advertising company where branding strategy is created to increase business and sales.	834,981	345,802	769,676.17	29,531.71%	15.9%	605	1.16	-10.44%	84.27%	19.06%	235,736	-6,425,351	-96.46%	
PROFIFOX a.s.	https://www.crunchbase.com/organization/action-plan-manager-a-s	2015-03-02	day	1-10	PROFIFOX is a web-based project management application for business teams. It was launched by Matej Palfi, Tomas Vojtek, Lukas Vavrek, and Richard Misencik in March 2015 and is based Kosice, Slovakia.	http://www.profifox.com	Collaboration, Professional Services, Project Management	Kosice, Kosice, Slovakia (Slovak Republic)	We are creator of PROFIFOX service	142,273													
SnapSolv	https://www.crunchbase.com/organization/snapsolv	2015-03-02	day	1-10	Customer-to-business communication at simplest form with mobile messaging. Hassle free, disentangled and ever ready channel to find help from favorite local or national brands.	http://www.snapsolv.com	Advertising, Collaboration, Customer Service, Enterprise Software, Messaging	Raleigh, North Carolina, United States	Quick & easy mobile communication platform connecting businesses and their customers with mobile messaging.	982,918													
Cloverpop by Clearbox Decisions, Inc.	https://www.crunchbase.com/organization/cloverpop	2015-03-01	day	11-50	We are on a mission to transform business decision-making, so we created the first Decision Intelligence platform based on a complete system of record for business decisions. Each year, hundreds of billions of dollars and millions of hours are lost or wasted because of bad decisions. We’re here to fix that. Through our Decision Intelligence platform and decision services, we provide enterprise clients with solutions to structure, collaborate, automate and learn from decisions. We focus primarily on marketing, sales and strategy decision areas. Thanks to our proven technology and process, we remove human biases, increase stakeholder buy-in and drive decision speed and quality. We are a venture backed start-up led by experienced entrepreneurs and thought leaders in the space of behavioral science, analytics, AI and the future of work. Our clients include Fortune 100 companies in the consumer goods, pharmaceutical and technology industries.	https://www.cloverpop.com	B2B, Collaboration, Enterprise Software, Predictive Analytics, SaaS, Software	Chicago, Illinois, United States	The leading decision intelligence suite designed for critical business decisions. Cloverpop was acquired by Clearbox Decisions, Inc in 2021.	36,737	1,444	1,349.17	40.88%	6,336.96%	0	1.0	-80%	100%	-87.67%	6,290,380	-593,091	-8.62%	https://www.cloverpop.com/privacy-policy
Inbu	https://www.crunchbase.com/organization/inbu-io	2015-03-01	day	1-10	They are crafting a next generation productivity instrument, replacing unreadable to-do check-lists and complex project management software for both individual users and enterprises.  Inbu lets you create a work breakdown structure of tasks with a quick view on deadlines, progress and assignees. Nests of tasks connect your day-to-day with the long term plans to make sure you work on what really matters. They also wanted to enable anyone collaborate with everyone - that is why it is free and unlimited on team size. What they're heading for? 1. Bring mobile apps in December 2015. 2. Start up premium version by end of 1Q 2016. 3. Create an Inbu marketplace and open for developers' customisation in 2016/2017.	http://www.inbu.io	Collaboration, Project Management, Software, Task Management	Prague, Hlavni mesto Praha, Czech Republic	Inbu is a smart productivity tool with free unlimited collaboration	388,042													
B2bsphere Inc	https://www.crunchbase.com/organization/b2bsphere-inc	2015-03-01	day	11-50	B2bsphere.com is revolutionizing the trillion dollar b2b industry,  by providing an ecosystem for buyers and sellers to Search, Connect and Collaborate for end to end buyer-supplier life cycle management.  B2bsphere.com software-as-a-service (SaaS) technology allows Buyers and suppliers to interact over a simple messaging channel to share conversations and connect. Once connected b2bsphere.com offers a suite of tools for buyers and sellers to share files on integrated cloud storage (or attach from anywhere Drop box, Google Drive etc.), chat, and messages over a safe and secured channel and even audio-video web conference all in one place. Buyers can bring their supplier relations online, create private chat rooms, and bring all communications with suppliers in one place. Suppliers have added flexibility to not just showcase their products and services in the business directory, but access an ecosystem of market network, which provides a window for new business opportunities.	https://www.b2bsphere.com	B2B, Collaboration, Marketplace, Procurement, SaaS, Supply Chain Management	Bangalore, Karnataka, India	Global marketplace for users to Search, Connect & Trade with complete confidence through a Unique Collaboration and Communication Platform	1,204,010													
Beekast	https://www.crunchbase.com/organization/beekast-2	2015-02-26	day	11-50	Beekast is an online platform that helps you create, lead and track your meetings and training sessions. The platform’s activities are easy to learn and use.  Lead effective and collaborative meetings. It’s easy, even when you’re remote. Engage your audience with digital and interactive activities directly inserted into your slides. Whatever your skills, Beekast assists you in all your meetings thanks to a set of advanced but incredibly simple features. Facilitating collaboration, getting feedback, and interacting with your participants has never been easier.	https://www.beekast.com	B2B, Collaboration, Human Resources, Information Technology, Internet, Market Research, SaaS, Software, Training, Video Conferencing	Paris, Ile-de-France, France	Beekast is an online platform that helps you create, lead and track your meetings and training sessions.	46,216	159,561	161,556.83	444.15%	-69.37%	524	1.55	-26%	68.63%	11.72%	400,476	-773,343	-65.88%	https://www.beekast.com/privacy-policy/
Ermeo	https://www.crunchbase.com/organization/ermeo	2015-02-26	day	11-50	At Ermeo, they are in daily contact with many manufacturers, from various sectors, to help them achieve operational excellence by standardizing their business processes while creating more collaboration between their teams and with their customers. Through their Connected Operator Platform, they provide their customers with the best possible operational experience. From improving security and field operator collaboration to increasing productivity, data quality and value, their solution enables their customers to solve their main challenges, from the simplest to the most complex.	https://www.ermeo.com/	Collaboration, Enterprise Software, SaaS, Software	Paris, Ile-de-France, France	Ermeo standardize your business processes and create more collaboration between your teams.	63,131	1,940		-84.4%	-30.16%	44	2.28	55.75%	57.37%	6.87%	5,122,316	3,200,646	166.56%	https://www.ermeo.com/en/privacy-policy/
CLOwork	https://www.crunchbase.com/organization/co-lab-orate-clo	2015-02-26	day	1-10	CLOwork are a community coworking space. Their participants at CLOwork are recognized more by their talent rather than their identity or domain in which they operate. A pleasant crowd full of energy and smiles is what you can expect at their space. Ideating, networking, interfacing and collaborating are the terms that they believe in! The new rich is being socially rich and that's what you can achieve here. Find your next co-founder or maybe even an investor around, you never know! CAPS, the community animation program at CLOwork ensures that you get more than what you ask for. They would be really happy if you walk out, at the end of the day, everyday, with a fresh perspective towards your idea and a lot more friends!  Last and the least, they are a productive, enjoyable place to work with fast internet, desks & coffee.	http://www.clowork.in	Collaboration, Commercial Real Estate, Communities, Coworking, Real Estate	Hyderabad, Andhra Pradesh, India	Collaboratives spaces that redefine the way millenials work and live.	431,426													
